




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Mus musculus - REFLIST (21836)	upload_1 (107)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
supramolecular polymer (GO:0099081)	1028	7	5.04	+	1.39	3.54E-01	1.00E00
intracellular organelle (GO:0043229)	12940	88	63.41	+	1.39	4.99E-07	3.32E-04
microtubule associated complex (GO:0005875)	148	1	.73	+	1.38	5.18E-01	1.00E00
organelle inner membrane (GO:0019866)	594	4	2.91	+	1.37	5.40E-01	1.00E00
organelle (GO:0043226)	13289	89	65.12	+	1.37	7.39E-07	2.95E-04
Schaffer collateral - CA1 synapse (GO:0098685)	151	1	.74	+	1.35	5.25E-01	1.00E00
protein-containing complex (GO:0032991)	5919	39	29.00	+	1.34	3.76E-02	7.98E-01
plasma membrane bounded cell projection cytoplasm (GO:0032838)	306	2	1.50	+	1.33	6.64E-01	1.00E00
cytosol (GO:0005829)	4171	27	20.44	+	1.32	1.09E-01	1.00E00
intracellular anatomical structure (GO:0005622)	14542	93	71.26	+	1.31	2.50E-06	5.53E-04
cytoskeleton (GO:0005856)	2382	15	11.67	+	1.29	2.78E-01	1.00E00
cell leading edge (GO:0031252)	481	3	2.36	+	1.27	5.12E-01	1.00E00
lytic vacuole membrane (GO:0098852)	321	2	1.57	+	1.27	6.72E-01	1.00E00
lysosomal membrane (GO:0005765)	321	2	1.57	+	1.27	6.72E-01	1.00E00
nuclear membrane (GO:0031965)	321	2	1.57	+	1.27	6.72E-01	1.00E00
neuron projection (GO:0043005)	1642	10	8.05	+	1.24	4.60E-01	1.00E00
intracellular organelle lumen (GO:0070013)	4861	29	23.82	+	1.22	2.44E-01	1.00E00
organelle lumen (GO:0043233)	4862	29	23.82	+	1.22	2.44E-01	1.00E00
membrane-enclosed lumen (GO:0031974)	4862	29	23.82	+	1.22	2.44E-01	1.00E00
intracellular membraneless organelle (GO:0043232)	4886	29	23.94	+	1.21	2.45E-01	1.00E00
membraneless organelle (GO:0043228)	4888	29	23.95	+	1.21	2.45E-01	1.00E00
dendrite (GO:0030425)	855	5	4.19	+	1.19	6.14E-01	1.00E00
condensed chromosome (GO:0000793)	342	2	1.68	+	1.19	6.85E-01	1.00E00
dendritic tree (GO:0097447)	857	5	4.20	+	1.19	6.15E-01	1.00E00
cell projection (GO:0042995)	2746	16	13.46	+	1.19	4.64E-01	1.00E00
nuclear lumen (GO:0031981)	4293	25	21.04	+	1.19	3.30E-01	1.00E00
plasma membrane region (GO:0098590)	1546	9	7.58	+	1.19	5.69E-01	1.00E00
side of membrane (GO:0098552)	860	5	4.21	+	1.19	6.16E-01	1.00E00
nucleus (GO:0005634)	7280	42	35.67	+	1.18	2.17E-01	1.00E00
monoatomic ion channel complex (GO:0034702)	348	2	1.71	+	1.17	6.89E-01	1.00E00
cytoplasmic region (GO:0099568)	349	2	1.71	+	1.17	6.90E-01	1.00E00
cellular anatomical structure (GO:0110165)	19126	107	93.72	+	1.14	1.06E-06	3.52E-04
nucleoplasm (GO:0005654)	3779	21	18.52	+	1.13	5.22E-01	1.00E00
intermediate filament cytoskeleton (GO:0045111)	180	1	.88	+	1.13	5.88E-01	1.00E00
cell cortex (GO:0005938)	363	2	1.78	+	1.12	6.99E-01	1.00E00
spindle pole (GO:0000922)	183	1	.90	+	1.12	5.95E-01	1.00E00
cell periphery (GO:0071944)	6590	36	32.29	+	1.11	4.60E-01	1.00E00
transferase complex (GO:1990234)	923	5	4.52	+	1.11	8.07E-01	1.00E00
plasma membrane bounded cell projection (GO:0120025)	2632	14	12.90	+	1.09	7.65E-01	1.00E00
cellular_component (GO:0005575)	20767	107	101.76	+	1.05	1.07E-02	4.27E-01
plasma membrane (GO:0005886)	6083	31	29.81	+	1.04	8.29E-01	1.00E00
cell projection membrane (GO:0031253)	396	2	1.94	+	1.03	7.21E-01	1.00E00
apical part of cell (GO:0045177)	595	3	2.92	+	1.03	7.68E-01	1.00E00
membrane (GO:0016020)	9761	49	47.83	+	1.02	8.46E-01	1.00E00
catalytic complex (GO:1902494)	1797	9	8.81	+	1.02	8.60E-01	1.00E00
nucleolus (GO:0005730)	1016	5	4.98	+	1.00	1.00E00	1.00E00
microtubule cytoskeleton (GO:0015630)	1439	7	7.05	-	.99	1.00E00	1.00E00
axoneme (GO:0005930)	206	1	1.01	-	.99	1.00E00	1.00E00
ciliary plasm (GO:0097014)	207	1	1.01	-	.99	1.00E00	1.00E00
axon terminus (GO:0043679)	208	1	1.02	-	.98	1.00E00	1.00E00
nuclear protein-containing complex (GO:0140513)	1267	6	6.21	-	.97	1.00E00	1.00E00
cation channel complex (GO:0034703)	216	1	1.06	-	.94	1.00E00	1.00E00
lamellipodium (GO:0030027)	218	1	1.07	-	.94	1.00E00	1.00E00
protein-DNA complex (GO:0032993)	222	1	1.09	-	.92	1.00E00	1.00E00
spliceosomal complex (GO:0005681)	223	1	1.09	-	.92	1.00E00	1.00E00
neuron projection terminus (GO:0044306)	230	1	1.13	-	.89	1.00E00	1.00E00
intracellular protein-containing complex (GO:0140535)	954	4	4.67	-	.86	1.00E00	1.00E00
dendritic spine (GO:0043197)	244	1	1.20	-	.84	1.00E00	1.00E00
centrosome (GO:0005813)	737	3	3.61	-	.83	1.00E00	1.00E00
neuron spine (GO:0044309)	249	1	1.22	-	.82	1.00E00	1.00E00
RNA polymerase II transcription regulator complex (GO:0090575)	251	1	1.23	-	.81	1.00E00	1.00E00
sperm flagellum (GO:0036126)	253	1	1.24	-	.81	1.00E00	1.00E00
anchoring junction (GO:0070161)	772	3	3.78	-	.79	1.00E00	1.00E00
cullin-RING ubiquitin ligase complex (GO:0031461)	263	1	1.29	-	.78	1.00E00	1.00E00
chromatin (GO:0000785)	793	3	3.89	-	.77	1.00E00	1.00E00
9+2 motile cilium (GO:0097729)	278	1	1.36	-	.73	1.00E00	1.00E00
chromosome (GO:0005694)	1454	5	7.12	-	.70	5.58E-01	1.00E00
microtubule organizing center (GO:0005815)	885	3	4.34	-	.69	8.03E-01	1.00E00
basolateral plasma membrane (GO:0016323)	308	1	1.51	-	.66	1.00E00	1.00E00
basal plasma membrane (GO:0009925)	340	1	1.67	-	.60	1.00E00	1.00E00
ribonucleoprotein complex (GO:1990904)	723	2	3.54	-	.56	5.89E-01	1.00E00
motile cilium (GO:0031514)	362	1	1.77	-	.56	1.00E00	1.00E00
basal part of cell (GO:0045178)	362	1	1.77	-	.56	1.00E00	1.00E00
ubiquitin ligase complex (GO:0000151)	385	1	1.89	-	.53	1.00E00	1.00E00
spindle (GO:0005819)	434	1	2.13	-	.47	7.27E-01	1.00E00
apical plasma membrane (GO:0016324)	484	1	2.37	-	.42	7.35E-01	1.00E00
transcription regulator complex (GO:0005667)	557	1	2.73	-	.37	5.30E-01	1.00E00
cell-cell junction (GO:0005911)	571	1	2.80	-	.36	5.34E-01	1.00E00
cilium (GO:0005929)	826	1	4.05	-	.25	1.95E-01	1.00E00
apical junction complex (GO:0043296)	173	0	.85	-	 < 0.01	1.00E00	1.00E00
apoptosome (GO:0043293)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of transport vesicle membrane (GO:0098539)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RAVE complex (GO:0043291)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
deuterosome (GO:0098536)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
dense core granule lumen (GO:0098898)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
spine apparatus membrane (GO:0098897)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial processing peptidase complex (GO:0017087)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
postsynaptic early endosome membrane (GO:0098896)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
extrinsic component of presynaptic endocytic zone membrane (GO:0098894)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
CatSper complex (GO:0036128)	17	0	.08	-	 < 0.01	1.00E00	1.00E00
extrinsic component of postsynaptic specialization membrane (GO:0098892)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
extrinsic component of presynaptic active zone membrane (GO:0098891)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
extrinsic component of postsynaptic membrane (GO:0098890)	24	0	.12	-	 < 0.01	1.00E00	1.00E00
fatty acid beta-oxidation multienzyme complex (GO:0036125)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
spine apparatus (GO:0097444)	9	0	.04	-	 < 0.01	1.00E00	1.00E00
sorting endosome (GO:0097443)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
CA3 pyramidal cell dendrite (GO:0097442)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
basal dendrite (GO:0097441)	9	0	.04	-	 < 0.01	1.00E00	1.00E00
apical dendrite (GO:0097440)	31	0	.15	-	 < 0.01	1.00E00	1.00E00
late recombination nodule (GO:0005715)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nuclear membrane protein complex (GO:0106083)	11	0	.05	-	 < 0.01	1.00E00	1.00E00
matrix side of mitochondrial inner membrane (GO:0099617)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
recombination nodule (GO:0005713)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
serine-type peptidase complex (GO:1905286)	19	0	.09	-	 < 0.01	1.00E00	1.00E00
chiasma (GO:0005712)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class III (GO:0035032)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
gamma-catenin-TCF7L2 complex (GO:0071665)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
catenin-TCF7L2 complex (GO:0071664)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
U4/U6 x U5 tri-snRNP complex (GO:0046540)	35	0	.17	-	 < 0.01	1.00E00	1.00E00
extrinsic component of presynaptic membrane (GO:0098888)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
RISC-loading complex (GO:0070578)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
hyaluranon cable (GO:0036117)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
trans-Golgi network transport vesicle membrane (GO:0012510)	19	0	.09	-	 < 0.01	1.00E00	1.00E00
intracellular cyclic nucleotide activated cation channel complex (GO:0017071)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
Rpd3L-Expanded complex (GO:0070210)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
dense body (GO:0097433)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
spectrin (GO:0008091)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
mitotic spindle pole (GO:0097431)	41	0	.20	-	 < 0.01	1.00E00	1.00E00
polytene chromosome (GO:0005700)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ER to Golgi transport vesicle membrane (GO:0012507)	29	0	.14	-	 < 0.01	1.00E00	1.00E00
epididymosome (GO:0098875)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
platelet-derived growth factor complex (GO:1990265)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
postsynaptic actin cytoskeleton (GO:0098871)	19	0	.09	-	 < 0.01	1.00E00	1.00E00
late endosome lumen (GO:0031906)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
early endosome lumen (GO:0031905)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
microtubule bundle (GO:0097427)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
endosome lumen (GO:0031904)	15	0	.07	-	 < 0.01	1.00E00	1.00E00
glial filament (GO:0097426)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ribonuclease III complex (GO:1903095)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
SUMO ligase complex (GO:0106068)	13	0	.06	-	 < 0.01	1.00E00	1.00E00
mitochondrial chromosome (GO:0000262)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tubular endosome (GO:0097422)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
macropinosome (GO:0044354)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
pinosome (GO:0044352)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
serine palmitoyltransferase complex (GO:0017059)	9	0	.04	-	 < 0.01	1.00E00	1.00E00
piccolo-bassoon transport vesicle (GO:1990257)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative cofactor 2 complex (GO:0017054)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
transcription repressor complex (GO:0017053)	82	0	.40	-	 < 0.01	1.00E00	1.00E00
PCNA-p21 complex (GO:0070557)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
cluster of actin-based cell projections (GO:0098862)	224	0	1.10	-	 < 0.01	6.31E-01	1.00E00
keratohyalin granule (GO:0036457)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
neurofibrillary tangle (GO:0097418)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
voltage-gated potassium channel complex (GO:0008076)	82	0	.40	-	 < 0.01	1.00E00	1.00E00
BRISC complex (GO:0070552)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
guanylate cyclase complex, soluble (GO:0008074)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
growth factor complex (GO:0036454)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
classical Lewy body (GO:0097414)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ESCRT complex (GO:0036452)	27	0	.13	-	 < 0.01	1.00E00	1.00E00
Lewy body (GO:0097413)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
ASAP complex (GO:0061574)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
subapical complex (GO:0035003)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
laminin-10 complex (GO:0043259)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
histone locus body (GO:0035363)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
laminin-8 complex (GO:0043257)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
laminin complex (GO:0043256)	11	0	.05	-	 < 0.01	1.00E00	1.00E00
HCN channel complex (GO:0098855)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Atg12-Atg5-Atg16 complex (GO:0034274)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
uniplex complex (GO:1990246)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class III, type II (GO:0034272)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class III, type I (GO:0034271)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
microtubule minus-end (GO:0036449)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
PeBoW complex (GO:0070545)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
glial cytoplasmic inclusion (GO:0097409)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
extrinsic component of synaptic vesicle membrane (GO:0098850)	25	0	.12	-	 < 0.01	1.00E00	1.00E00
CAF-1 complex (GO:0033186)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
commitment complex (GO:0000243)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
dolichol-phosphate-mannose synthase complex (GO:0033185)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
pericentriolar material (GO:0000242)	24	0	.12	-	 < 0.01	1.00E00	1.00E00
clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane (GO:0061202)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
clathrin-sculpted gamma-aminobutyric acid transport vesicle (GO:0061200)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
plasma membrane proton-transporting V-type ATPase complex (GO:0033181)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
proton-transporting V-type ATPase, V1 domain (GO:0033180)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
Toll-like receptor 2-Toll-like receptor 6 protein complex (GO:0035355)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Toll-like receptor 1-Toll-like receptor 2 protein complex (GO:0035354)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
cortical granule (GO:0060473)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Ragulator complex (GO:0071986)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Fanconi anaemia nuclear complex (GO:0043240)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
podocyte foot (GO:0098846)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
postsynaptic endocytic zone membrane (GO:0098844)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
postsynaptic endocytic zone (GO:0098843)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
AIP1-IRE1 complex (GO:1990597)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
postsynaptic early endosome (GO:0098842)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
STING complex (GO:1990231)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
BRCA1-C complex (GO:0070533)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
BRCA1-B complex (GO:0070532)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
proton-transporting two-sector ATPase complex, catalytic domain (GO:0033178)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
astral microtubule (GO:0000235)	11	0	.05	-	 < 0.01	1.00E00	1.00E00
BRCA1-A complex (GO:0070531)	9	0	.04	-	 < 0.01	1.00E00	1.00E00
ATF1-ATF4 transcription factor complex (GO:1990590)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
dendritic spine head (GO:0044327)	15	0	.07	-	 < 0.01	1.00E00	1.00E00
dendritic spine neck (GO:0044326)	9	0	.04	-	 < 0.01	1.00E00	1.00E00
migrasome (GO:0140494)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum quality control compartment (GO:0044322)	15	0	.07	-	 < 0.01	1.00E00	1.00E00
spine synapse (GO:0106033)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear replication fork (GO:0043596)	44	0	.22	-	 < 0.01	1.00E00	1.00E00
iron-sulfur cluster assembly complex (GO:1990229)	17	0	.08	-	 < 0.01	1.00E00	1.00E00
sulfurtransferase complex (GO:1990228)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
presynaptic endocytic zone membrane (GO:0098835)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
female germ cell nucleus (GO:0001674)	26	0	.13	-	 < 0.01	1.00E00	1.00E00
ATF4-CREB1 transcription factor complex (GO:1990589)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
male germ cell nucleus (GO:0001673)	83	0	.41	-	 < 0.01	1.00E00	1.00E00
presynaptic endocytic zone (GO:0098833)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
presynaptic active zone cytoplasmic component (GO:0098831)	22	0	.11	-	 < 0.01	1.00E00	1.00E00
cardiac Troponin complex (GO:1990584)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
L-cysteine desulfurase complex (GO:1990221)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
ERCC4-ERCC1 complex (GO:0070522)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
rod spherule (GO:0044317)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
interphotoreceptor matrix (GO:0033165)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
cone cell pedicle (GO:0044316)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
vacuolar proton-transporting V-type ATPase, V1 domain (GO:0000221)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
melanosome membrane (GO:0033162)	22	0	.11	-	 < 0.01	1.00E00	1.00E00
NOS2-CD74 complex (GO:0035693)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
macrophage migration inhibitory factor receptor complex (GO:0035692)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
acrosomal vesicle (GO:0001669)	200	0	.98	-	 < 0.01	1.00E00	1.00E00
Schmidt-Lanterman incisure (GO:0043220)	17	0	.08	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum tubular network membrane (GO:0098826)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial DNA-directed RNA polymerase complex (GO:0034245)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
perinuclear endoplasmic reticulum membrane (GO:1990578)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
CAK-ERCC2 complex (GO:0070516)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
microprocessor complex (GO:0070877)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
trans-synaptic protein complex (GO:0098820)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
SRF-myogenin-E12 complex (GO:0070514)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
SOSS complex (GO:0070876)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
TERT-RMRP complex (GO:1990572)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
axonal spine (GO:0044308)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
tRNA-intron endonuclease complex (GO:0000214)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
dendritic branch (GO:0044307)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
calyx of Held (GO:0044305)	36	0	.18	-	 < 0.01	1.00E00	1.00E00
photoreceptor cell cilium (GO:0097733)	123	0	.60	-	 < 0.01	1.00E00	1.00E00
MLL3/4 complex (GO:0044666)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
9+2 non-motile cilium (GO:0097732)	13	0	.06	-	 < 0.01	1.00E00	1.00E00
axon collateral (GO:0044303)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
MLL1/2 complex (GO:0044665)	32	0	.16	-	 < 0.01	1.00E00	1.00E00
9+0 non-motile cilium (GO:0097731)	137	0	.67	-	 < 0.01	1.00E00	1.00E00
dentate gyrus mossy fiber (GO:0044302)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cytoskeletal calyx (GO:0033150)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
non-motile cilium (GO:0097730)	178	0	.87	-	 < 0.01	1.00E00	1.00E00
climbing fiber (GO:0044301)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
eukaryotic 43S preinitiation complex (GO:0016282)	19	0	.09	-	 < 0.01	1.00E00	1.00E00
cerebellar mossy fiber (GO:0044300)	9	0	.04	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 4F complex (GO:0016281)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
lateral loop (GO:0043219)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
compact myelin (GO:0043218)	22	0	.11	-	 < 0.01	1.00E00	1.00E00
sperm fibrous sheath (GO:0035686)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
elastic fiber (GO:0071953)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
granular component (GO:0001652)	9	0	.04	-	 < 0.01	1.00E00	1.00E00
dense fibrillar component (GO:0001651)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
I(KACh) inward rectifier potassium channel complex (GO:1990566)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
fibrillar center (GO:0001650)	154	0	.75	-	 < 0.01	1.00E00	1.00E00
HSP90-CDC37 chaperone complex (GO:1990565)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle lumen (GO:0034592)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3-K14 acetyltransferase complex (GO:0036409)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
9+0 motile cilium (GO:0097728)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
IkappaB kinase complex (GO:0008385)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
extrinsic component of membrane (GO:0019898)	192	0	.94	-	 < 0.01	1.00E00	1.00E00
extrinsic component of plasma membrane (GO:0019897)	129	0	.63	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I core factor complex (GO:0070860)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
amyloid-beta complex (GO:0106003)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mCRD-mediated mRNA stability complex (GO:0106002)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
prefoldin complex (GO:0016272)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
bleb (GO:0032059)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
methylcrotonoyl-CoA carboxylase complex (GO:1905202)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
translation release factor complex (GO:0018444)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
axon hillock (GO:0043203)	9	0	.04	-	 < 0.01	1.00E00	1.00E00
lysosomal lumen (GO:0043202)	33	0	.16	-	 < 0.01	1.00E00	1.00E00
Ku70:Ku80 complex (GO:0043564)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
Myc-Max complex (GO:0071943)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
XPC complex (GO:0071942)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
axon cytoplasm (GO:1904115)	58	0	.28	-	 < 0.01	1.00E00	1.00E00
non-motile cilium membrane (GO:0098804)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
inner mitochondrial membrane protein complex (GO:0098800)	43	0	.21	-	 < 0.01	1.00E00	1.00E00
cell body fiber (GO:0070852)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
guanyl-nucleotide exchange factor complex (GO:0032045)	23	0	.11	-	 < 0.01	1.00E00	1.00E00
DSIF complex (GO:0032044)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
small-subunit processome (GO:0032040)	73	0	.36	-	 < 0.01	1.00E00	1.00E00
alpha-beta T cell receptor complex (GO:0042105)	13	0	.06	-	 < 0.01	1.00E00	1.00E00
core mediator complex (GO:0070847)	26	0	.13	-	 < 0.01	1.00E00	1.00E00
T cell receptor complex (GO:0042101)	22	0	.11	-	 < 0.01	1.00E00	1.00E00
chromosome, telomeric repeat region (GO:0140445)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
integrator complex (GO:0032039)	19	0	.09	-	 < 0.01	1.00E00	1.00E00
Mon1-Ccz1 complex (GO:0035658)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
eRF1 methyltransferase complex (GO:0035657)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
yolk (GO:0060417)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
MHC class Ib protein complex (GO:0032398)	25	0	.12	-	 < 0.01	1.00E00	1.00E00
photoreceptor connecting cilium (GO:0032391)	48	0	.24	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylglucosamine transferase complex (GO:0043541)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase complex (GO:0043540)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cleavage body (GO:0071920)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Dom34-Hbs1 complex (GO:1990533)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
phospholipid-translocating ATPase complex (GO:1990531)	13	0	.06	-	 < 0.01	1.00E00	1.00E00
katanin complex (GO:0008352)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
retrograde transporter complex, Golgi to ER (GO:0061852)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
subcortical maternal complex (GO:0106333)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
leading edge of lamellipodium (GO:0061851)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
growth cone leading edge (GO:0061850)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
