




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Mus musculus - REFLIST (21836)	upload_1 (364)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
transporter complex (GO:1990351)	506	17	8.43	+	2.02	6.97E-03	1.62E-01
phagocytic cup (GO:0001891)	30	1	.50	+	2.00	3.96E-01	1.00E00
Cul3-RING ubiquitin ligase complex (GO:0031463)	60	2	1.00	+	2.00	2.64E-01	1.00E00
postsynaptic specialization (GO:0099572)	513	17	8.55	+	1.99	7.52E-03	1.72E-01
actin-based cell projection (GO:0098858)	273	9	4.55	+	1.98	5.01E-02	5.95E-01
spliceosomal snRNP complex (GO:0097525)	61	2	1.02	+	1.97	2.70E-01	1.00E00
postsynaptic specialization, intracellular component (GO:0099091)	61	2	1.02	+	1.97	2.70E-01	1.00E00
extracellular matrix (GO:0031012)	521	17	8.68	+	1.96	8.28E-03	1.85E-01
cortical actin cytoskeleton (GO:0030864)	92	3	1.53	+	1.96	1.98E-01	1.00E00
side of membrane (GO:0098552)	860	28	14.34	+	1.95	8.93E-04	3.71E-02
external encapsulating structure (GO:0030312)	523	17	8.72	+	1.95	8.49E-03	1.86E-01
transcription factor TFIID complex (GO:0005669)	31	1	.52	+	1.94	4.06E-01	1.00E00
membrane raft (GO:0045121)	343	11	5.72	+	1.92	3.27E-02	4.76E-01
postsynaptic membrane (GO:0045211)	406	13	6.77	+	1.92	2.75E-02	4.26E-01
Golgi apparatus subcompartment (GO:0098791)	375	12	6.25	+	1.92	3.71E-02	5.00E-01
membrane microdomain (GO:0098857)	345	11	5.75	+	1.91	5.09E-02	5.97E-01
gap junction (GO:0005921)	32	1	.53	+	1.87	4.16E-01	1.00E00
actin filament (GO:0005884)	128	4	2.13	+	1.87	1.66E-01	1.00E00
ribbon synapse (GO:0097470)	32	1	.53	+	1.87	4.16E-01	1.00E00
Golgi-associated vesicle (GO:0005798)	98	3	1.63	+	1.84	2.24E-01	1.00E00
clathrin-coated vesicle (GO:0030136)	164	5	2.73	+	1.83	2.03E-01	1.00E00
cytoplasmic vesicle membrane (GO:0030659)	990	30	16.50	+	1.82	1.98E-03	6.59E-02
postsynaptic specialization membrane (GO:0099634)	200	6	3.33	+	1.80	1.53E-01	1.00E00
secretory granule (GO:0030141)	534	16	8.90	+	1.80	2.40E-02	3.85E-01
vesicle membrane (GO:0012506)	1008	30	16.80	+	1.79	2.23E-03	6.94E-02
nuclear envelope (GO:0005635)	508	15	8.47	+	1.77	3.27E-02	4.83E-01
endosome membrane (GO:0010008)	508	15	8.47	+	1.77	3.27E-02	4.79E-01
Golgi apparatus (GO:0005794)	1529	45	25.49	+	1.77	2.44E-04	1.31E-02
microvillus membrane (GO:0031528)	34	1	.57	+	1.76	4.36E-01	1.00E00
plasma membrane bounded cell projection cytoplasm (GO:0032838)	306	9	5.10	+	1.76	1.07E-01	9.36E-01
COP9 signalosome (GO:0008180)	34	1	.57	+	1.76	4.36E-01	1.00E00
filamentous actin (GO:0031941)	34	1	.57	+	1.76	4.36E-01	1.00E00
cytoplasmic region (GO:0099568)	349	10	5.82	+	1.72	8.76E-02	8.16E-01
U4/U6 x U5 tri-snRNP complex (GO:0046540)	35	1	.58	+	1.71	4.45E-01	1.00E00
spliceosomal tri-snRNP complex (GO:0097526)	35	1	.58	+	1.71	4.45E-01	1.00E00
small nuclear ribonucleoprotein complex (GO:0030532)	70	2	1.17	+	1.71	3.26E-01	1.00E00
U2-type spliceosomal complex (GO:0005684)	106	3	1.77	+	1.70	2.60E-01	1.00E00
caveola (GO:0005901)	106	3	1.77	+	1.70	2.60E-01	1.00E00
organelle envelope lumen (GO:0031970)	106	3	1.77	+	1.70	2.60E-01	1.00E00
cell division site (GO:0032153)	71	2	1.18	+	1.69	3.32E-01	1.00E00
aggresome (GO:0016235)	36	1	.60	+	1.67	4.54E-01	1.00E00
actin cytoskeleton (GO:0015629)	540	15	9.00	+	1.67	5.76E-02	6.64E-01
coated vesicle (GO:0030135)	254	7	4.23	+	1.65	2.07E-01	1.00E00
lamellipodium (GO:0030027)	218	6	3.63	+	1.65	1.83E-01	1.00E00
endosome (GO:0005768)	1032	28	17.20	+	1.63	1.20E-02	2.36E-01
trans-Golgi network (GO:0005802)	259	7	4.32	+	1.62	2.12E-01	1.00E00
ciliary membrane (GO:0060170)	74	2	1.23	+	1.62	3.50E-01	1.00E00
plasma membrane (GO:0005886)	6083	164	101.40	+	1.62	1.85E-12	9.20E-10
cell periphery (GO:0071944)	6590	176	109.85	+	1.60	2.97E-13	1.97E-10
vesicle (GO:0031982)	2353	62	39.22	+	1.58	3.10E-04	1.58E-02
mediator complex (GO:0016592)	38	1	.63	+	1.58	4.72E-01	1.00E00
trans-Golgi network transport vesicle (GO:0030140)	38	1	.63	+	1.58	4.72E-01	1.00E00
extrinsic component of synaptic membrane (GO:0099243)	38	1	.63	+	1.58	4.72E-01	1.00E00
T-tubule (GO:0030315)	76	2	1.27	+	1.58	3.62E-01	1.00E00
neuronal cell body membrane (GO:0032809)	38	1	.63	+	1.58	4.72E-01	1.00E00
bounding membrane of organelle (GO:0098588)	1876	49	31.27	+	1.57	1.73E-03	5.84E-02
fibrillar center (GO:0001650)	154	4	2.57	+	1.56	3.30E-01	1.00E00
clathrin-coated vesicle membrane (GO:0030665)	77	2	1.28	+	1.56	3.68E-01	1.00E00
basolateral plasma membrane (GO:0016323)	308	8	5.13	+	1.56	1.79E-01	1.00E00
late endosome (GO:0005770)	310	8	5.17	+	1.55	1.82E-01	1.00E00
external side of plasma membrane (GO:0009897)	544	14	9.07	+	1.54	1.22E-01	1.00E00
inclusion body (GO:0016234)	78	2	1.30	+	1.54	3.74E-01	1.00E00
cell surface (GO:0009986)	1135	29	18.92	+	1.53	2.28E-02	3.76E-01
filopodium (GO:0030175)	118	3	1.97	+	1.53	4.51E-01	1.00E00
membrane protein complex (GO:0098796)	1260	32	21.00	+	1.52	1.69E-02	2.91E-01
endomembrane system (GO:0012505)	4451	113	74.20	+	1.52	1.40E-06	1.27E-04
cytoplasmic vesicle (GO:0031410)	2211	56	36.86	+	1.52	1.52E-03	5.51E-02
plasma membrane signaling receptor complex (GO:0098802)	198	5	3.30	+	1.51	3.91E-01	1.00E00
intracellular vesicle (GO:0097708)	2219	56	36.99	+	1.51	1.57E-03	5.59E-02
sarcoplasmic reticulum membrane (GO:0033017)	40	1	.67	+	1.50	4.90E-01	1.00E00
spindle midzone (GO:0051233)	40	1	.67	+	1.50	4.90E-01	1.00E00
cell leading edge (GO:0031252)	481	12	8.02	+	1.50	1.48E-01	1.00E00
lytic vacuole membrane (GO:0098852)	321	8	5.35	+	1.50	2.64E-01	1.00E00
lysosomal membrane (GO:0005765)	321	8	5.35	+	1.50	2.64E-01	1.00E00
stereocilium bundle (GO:0032421)	81	2	1.35	+	1.48	3.92E-01	1.00E00
basement membrane (GO:0005604)	122	3	2.03	+	1.48	4.60E-01	1.00E00
cortical cytoskeleton (GO:0030863)	122	3	2.03	+	1.48	4.60E-01	1.00E00
microtubule (GO:0005874)	489	12	8.15	+	1.47	2.06E-01	1.00E00
mitotic spindle pole (GO:0097431)	41	1	.68	+	1.46	4.98E-01	1.00E00
cell body membrane (GO:0044298)	41	1	.68	+	1.46	4.98E-01	1.00E00
I band (GO:0031674)	164	4	2.73	+	1.46	3.55E-01	1.00E00
collagen trimer (GO:0005581)	83	2	1.38	+	1.45	4.04E-01	1.00E00
RNA polymerase II transcription regulator complex (GO:0090575)	251	6	4.18	+	1.43	3.18E-01	1.00E00
lytic vacuole (GO:0000323)	588	14	9.80	+	1.43	1.87E-01	1.00E00
extrinsic component of organelle membrane (GO:0031312)	42	1	.70	+	1.43	5.07E-01	1.00E00
lysosome (GO:0005764)	588	14	9.80	+	1.43	1.87E-01	1.00E00
vacuolar membrane (GO:0005774)	381	9	6.35	+	1.42	3.06E-01	1.00E00
basal plasma membrane (GO:0009925)	340	8	5.67	+	1.41	2.84E-01	1.00E00
transcription regulator complex (GO:0005667)	557	13	9.29	+	1.40	2.36E-01	1.00E00
membrane (GO:0016020)	9761	226	162.71	+	1.39	2.03E-11	4.50E-09
cytoplasmic ribonucleoprotein granule (GO:0036464)	264	6	4.40	+	1.36	4.60E-01	1.00E00
cell projection membrane (GO:0031253)	396	9	6.60	+	1.36	3.19E-01	1.00E00
adherens junction (GO:0005912)	176	4	2.93	+	1.36	5.43E-01	1.00E00
voltage-gated calcium channel complex (GO:0005891)	44	1	.73	+	1.36	5.23E-01	1.00E00
supramolecular fiber (GO:0099512)	1021	23	17.02	+	1.35	1.33E-01	1.00E00
organelle subcompartment (GO:0031984)	1467	33	24.45	+	1.35	7.29E-02	7.45E-01
polymeric cytoskeletal fiber (GO:0099513)	757	17	12.62	+	1.35	1.94E-01	1.00E00
supramolecular polymer (GO:0099081)	1028	23	17.14	+	1.34	1.68E-01	1.00E00
organelle membrane (GO:0031090)	3496	78	58.28	+	1.34	6.04E-03	1.43E-01
ionotropic glutamate receptor complex (GO:0008328)	45	1	.75	+	1.33	5.31E-01	1.00E00
cell cortex region (GO:0099738)	45	1	.75	+	1.33	5.31E-01	1.00E00
protein kinase complex (GO:1902911)	135	3	2.25	+	1.33	4.94E-01	1.00E00
basal part of cell (GO:0045178)	362	8	6.03	+	1.33	4.02E-01	1.00E00
perinuclear region of cytoplasm (GO:0048471)	865	19	14.42	+	1.32	2.20E-01	1.00E00
AP-type membrane coat adaptor complex (GO:0030119)	46	1	.77	+	1.30	5.39E-01	1.00E00
mitochondrial intermembrane space (GO:0005758)	92	2	1.53	+	1.30	6.67E-01	1.00E00
neurotransmitter receptor complex (GO:0098878)	47	1	.78	+	1.28	5.47E-01	1.00E00
ciliary base (GO:0097546)	47	1	.78	+	1.28	5.47E-01	1.00E00
ribonucleoprotein granule (GO:0035770)	282	6	4.70	+	1.28	4.79E-01	1.00E00
protein-containing complex (GO:0032991)	5919	124	98.67	+	1.26	3.50E-03	9.84E-02
early endosome membrane (GO:0031901)	192	4	3.20	+	1.25	5.66E-01	1.00E00
DNA-directed RNA polymerase complex (GO:0000428)	96	2	1.60	+	1.25	6.76E-01	1.00E00
podosome (GO:0002102)	48	1	.80	+	1.25	5.54E-01	1.00E00
plasma membrane raft (GO:0044853)	145	3	2.42	+	1.24	5.23E-01	1.00E00
supramolecular complex (GO:0099080)	1402	29	23.37	+	1.24	2.34E-01	1.00E00
outer membrane (GO:0019867)	242	5	4.03	+	1.24	6.07E-01	1.00E00
organelle outer membrane (GO:0031968)	242	5	4.03	+	1.24	6.07E-01	1.00E00
ruffle (GO:0001726)	195	4	3.25	+	1.23	5.71E-01	1.00E00
site of double-strand break (GO:0035861)	98	2	1.63	+	1.22	6.80E-01	1.00E00
kinesin complex (GO:0005871)	49	1	.82	+	1.22	5.62E-01	1.00E00
A band (GO:0031672)	49	1	.82	+	1.22	5.62E-01	1.00E00
RNA polymerase complex (GO:0030880)	98	2	1.63	+	1.22	6.80E-01	1.00E00
Z disc (GO:0030018)	148	3	2.47	+	1.22	7.40E-01	1.00E00
early endosome (GO:0005769)	446	9	7.43	+	1.21	5.71E-01	1.00E00
focal adhesion (GO:0005925)	199	4	3.32	+	1.21	5.77E-01	1.00E00
membrane coat (GO:0030117)	100	2	1.67	+	1.20	6.84E-01	1.00E00
mitochondrial nucleoid (GO:0042645)	50	1	.83	+	1.20	5.69E-01	1.00E00
respiratory chain complex I (GO:0045271)	50	1	.83	+	1.20	5.69E-01	1.00E00
NADH dehydrogenase complex (GO:0030964)	50	1	.83	+	1.20	5.69E-01	1.00E00
nucleoid (GO:0009295)	50	1	.83	+	1.20	5.69E-01	1.00E00
contractile actin filament bundle (GO:0097517)	100	2	1.67	+	1.20	6.84E-01	1.00E00
stress fiber (GO:0001725)	100	2	1.67	+	1.20	6.84E-01	1.00E00
coated membrane (GO:0048475)	100	2	1.67	+	1.20	6.84E-01	1.00E00
intercellular bridge (GO:0045171)	100	2	1.67	+	1.20	6.84E-01	1.00E00
vacuole (GO:0005773)	700	14	11.67	+	1.20	4.52E-01	1.00E00
proton-transporting two-sector ATPase complex (GO:0016469)	51	1	.85	+	1.18	5.76E-01	1.00E00
catalytic complex (GO:1902494)	1797	35	29.96	+	1.17	3.35E-01	1.00E00
microtubule cytoskeleton (GO:0015630)	1439	28	23.99	+	1.17	3.93E-01	1.00E00
axoneme (GO:0005930)	206	4	3.43	+	1.16	5.90E-01	1.00E00
methyltransferase complex (GO:0034708)	103	2	1.72	+	1.16	6.91E-01	1.00E00
cytoplasm (GO:0005737)	11812	229	196.90	+	1.16	6.72E-04	3.05E-02
Golgi membrane (GO:0000139)	569	11	9.49	+	1.16	6.16E-01	1.00E00
ciliary plasm (GO:0097014)	207	4	3.45	+	1.16	7.80E-01	1.00E00
cytoskeleton (GO:0005856)	2382	46	39.71	+	1.16	2.71E-01	1.00E00
cell cortex (GO:0005938)	363	7	6.05	+	1.16	6.76E-01	1.00E00
clathrin coat (GO:0030118)	52	1	.87	+	1.15	5.83E-01	1.00E00
organelle (GO:0043226)	13289	254	221.52	+	1.15	4.18E-04	2.08E-02
intracellular organelle (GO:0043229)	12940	246	215.71	+	1.14	1.02E-03	4.08E-02
extracellular region (GO:0005576)	2542	48	42.37	+	1.13	3.64E-01	1.00E00
transcription elongation factor complex (GO:0008023)	53	1	.88	+	1.13	5.90E-01	1.00E00
protein serine/threonine phosphatase complex (GO:0008287)	53	1	.88	+	1.13	5.90E-01	1.00E00
phosphatase complex (GO:1903293)	53	1	.88	+	1.13	5.90E-01	1.00E00
preribosome (GO:0030684)	106	2	1.77	+	1.13	6.97E-01	1.00E00
membrane-bounded organelle (GO:0043227)	12297	232	204.99	+	1.13	3.98E-03	1.06E-01
cell-substrate junction (GO:0030055)	213	4	3.55	+	1.13	7.84E-01	1.00E00
intracellular membrane-bounded organelle (GO:0043231)	11792	220	196.57	+	1.12	1.46E-02	2.62E-01
centriole (GO:0005814)	161	3	2.68	+	1.12	7.52E-01	1.00E00
intracellular anatomical structure (GO:0005622)	14542	270	242.41	+	1.11	2.01E-03	6.57E-02
U2-type precatalytic spliceosome (GO:0071005)	54	1	.90	+	1.11	5.97E-01	1.00E00
cellular anatomical structure (GO:0110165)	19126	354	318.83	+	1.11	6.25E-11	1.25E-08
actomyosin (GO:0042641)	109	2	1.82	+	1.10	7.04E-01	1.00E00
endoplasmic reticulum (GO:0005783)	1923	35	32.06	+	1.09	5.75E-01	1.00E00
endoplasmic reticulum subcompartment (GO:0098827)	1155	21	19.25	+	1.09	6.37E-01	1.00E00
actin filament bundle (GO:0032432)	110	2	1.83	+	1.09	7.06E-01	1.00E00
precatalytic spliceosome (GO:0071011)	55	1	.92	+	1.09	6.04E-01	1.00E00
extracellular space (GO:0005615)	1818	33	30.31	+	1.09	5.67E-01	1.00E00
anchoring junction (GO:0070161)	772	14	12.87	+	1.09	6.69E-01	1.00E00
cytosol (GO:0005829)	4171	75	69.53	+	1.08	4.60E-01	1.00E00
nuclear outer membrane-endoplasmic reticulum membrane network (GO:0042175)	1177	21	19.62	+	1.07	7.25E-01	1.00E00
centrosome (GO:0005813)	737	13	12.29	+	1.06	7.70E-01	1.00E00
cell-cell junction (GO:0005911)	571	10	9.52	+	1.05	8.68E-01	1.00E00
endoplasmic reticulum membrane (GO:0005789)	1148	20	19.14	+	1.05	8.12E-01	1.00E00
apical junction complex (GO:0043296)	173	3	2.88	+	1.04	7.66E-01	1.00E00
nucleus (GO:0005634)	7280	126	121.36	+	1.04	6.14E-01	1.00E00
axon cytoplasm (GO:1904115)	58	1	.97	+	1.03	6.23E-01	1.00E00
sarcomere (GO:0030017)	233	4	3.88	+	1.03	7.98E-01	1.00E00
cellular_component (GO:0005575)	20767	356	346.18	+	1.03	1.35E-02	2.46E-01
endocytic vesicle (GO:0030139)	235	4	3.92	+	1.02	7.99E-01	1.00E00
cilium (GO:0005929)	826	14	13.77	+	1.02	8.90E-01	1.00E00
protein complex involved in cell adhesion (GO:0098636)	59	1	.98	+	1.02	1.00E00	1.00E00
microtubule organizing center (GO:0005815)	885	15	14.75	+	1.02	8.93E-01	1.00E00
non-motile cilium (GO:0097730)	178	3	2.97	+	1.01	7.73E-01	1.00E00
mitotic spindle (GO:0072686)	180	3	3.00	-	1.00	1.00E00	1.00E00
organelle envelope (GO:0031967)	1338	22	22.30	-	.99	1.00E00	1.00E00
intracellular membraneless organelle (GO:0043232)	4886	80	81.45	-	.98	8.99E-01	1.00E00
membraneless organelle (GO:0043228)	4888	80	81.48	-	.98	8.99E-01	1.00E00
centriolar satellite (GO:0034451)	125	2	2.08	-	.96	1.00E00	1.00E00
coated vesicle membrane (GO:0030662)	126	2	2.10	-	.95	1.00E00	1.00E00
nuclear protein-containing complex (GO:0140513)	1267	20	21.12	-	.95	9.10E-01	1.00E00
myofibril (GO:0030016)	259	4	4.32	-	.93	1.00E00	1.00E00
site of DNA damage (GO:0090734)	130	2	2.17	-	.92	1.00E00	1.00E00
ribonucleoprotein complex (GO:1990904)	723	11	12.05	-	.91	8.83E-01	1.00E00
cornified envelope (GO:0001533)	66	1	1.10	-	.91	1.00E00	1.00E00
SCF ubiquitin ligase complex (GO:0019005)	66	1	1.10	-	.91	1.00E00	1.00E00
phagocytic vesicle (GO:0045335)	133	2	2.22	-	.90	1.00E00	1.00E00
acrosomal vesicle (GO:0001669)	200	3	3.33	-	.90	1.00E00	1.00E00
contractile muscle fiber (GO:0043292)	268	4	4.47	-	.90	1.00E00	1.00E00
calcium channel complex (GO:0034704)	67	1	1.12	-	.90	1.00E00	1.00E00
transferase complex, transferring phosphorus-containing groups (GO:0061695)	271	4	4.52	-	.89	1.00E00	1.00E00
leading edge membrane (GO:0031256)	205	3	3.42	-	.88	1.00E00	1.00E00
9+0 non-motile cilium (GO:0097731)	137	2	2.28	-	.88	1.00E00	1.00E00
nucleoplasm (GO:0005654)	3779	55	62.99	-	.87	2.94E-01	1.00E00
RNA polymerase II, holoenzyme (GO:0016591)	70	1	1.17	-	.86	1.00E00	1.00E00
vesicle tethering complex (GO:0099023)	70	1	1.17	-	.86	1.00E00	1.00E00
stereocilium (GO:0032420)	71	1	1.18	-	.84	1.00E00	1.00E00
histone methyltransferase complex (GO:0035097)	71	1	1.18	-	.84	1.00E00	1.00E00
oxidoreductase complex (GO:1990204)	144	2	2.40	-	.83	1.00E00	1.00E00
euchromatin (GO:0000791)	72	1	1.20	-	.83	1.00E00	1.00E00
spindle (GO:0005819)	434	6	7.23	-	.83	8.49E-01	1.00E00
intracellular organelle lumen (GO:0070013)	4861	67	81.03	-	.83	7.54E-02	7.60E-01
organelle lumen (GO:0043233)	4862	67	81.05	-	.83	7.54E-02	7.67E-01
membrane-enclosed lumen (GO:0031974)	4862	67	81.05	-	.83	7.54E-02	7.63E-01
nuclear lumen (GO:0031981)	4293	59	71.56	-	.82	9.67E-02	8.68E-01
intracellular protein-containing complex (GO:0140535)	954	13	15.90	-	.82	5.19E-01	1.00E00
bicellular tight junction (GO:0005923)	147	2	2.45	-	.82	1.00E00	1.00E00
spliceosomal complex (GO:0005681)	223	3	3.72	-	.81	1.00E00	1.00E00
transferase complex (GO:1990234)	923	12	15.39	-	.78	4.32E-01	1.00E00
nuclear body (GO:0016604)	854	11	14.24	-	.77	4.94E-01	1.00E00
lateral plasma membrane (GO:0016328)	78	1	1.30	-	.77	1.00E00	1.00E00
nucleolus (GO:0005730)	1016	13	16.94	-	.77	3.80E-01	1.00E00
tight junction (GO:0070160)	158	2	2.63	-	.76	1.00E00	1.00E00
nuclear periphery (GO:0034399)	162	2	2.70	-	.74	1.00E00	1.00E00
transcription repressor complex (GO:0017053)	82	1	1.37	-	.73	1.00E00	1.00E00
male germ cell nucleus (GO:0001673)	83	1	1.38	-	.72	1.00E00	1.00E00
histone deacetylase complex (GO:0000118)	83	1	1.38	-	.72	1.00E00	1.00E00
neuron projection membrane (GO:0032589)	83	1	1.38	-	.72	1.00E00	1.00E00
nuclear speck (GO:0016607)	424	5	7.07	-	.71	5.65E-01	1.00E00
chromosome, centromeric region (GO:0000775)	256	3	4.27	-	.70	8.04E-01	1.00E00
cullin-RING ubiquitin ligase complex (GO:0031461)	263	3	4.38	-	.68	8.06E-01	1.00E00
mitochondrion (GO:0005739)	1929	22	32.16	-	.68	6.20E-02	7.02E-01
intermediate filament cytoskeleton (GO:0045111)	180	2	3.00	-	.67	7.73E-01	1.00E00
chromosome (GO:0005694)	1454	16	24.24	-	.66	8.90E-02	8.22E-01
spindle pole (GO:0000922)	183	2	3.05	-	.66	7.73E-01	1.00E00
main axon (GO:0044304)	93	1	1.55	-	.65	1.00E00	1.00E00
nuclear DNA-directed RNA polymerase complex (GO:0055029)	93	1	1.55	-	.65	1.00E00	1.00E00
chromosomal region (GO:0098687)	372	4	6.20	-	.65	5.37E-01	1.00E00
ciliary basal body (GO:0036064)	188	2	3.13	-	.64	7.74E-01	1.00E00
photoreceptor outer segment (GO:0001750)	94	1	1.57	-	.64	1.00E00	1.00E00
ubiquitin ligase complex (GO:0000151)	385	4	6.42	-	.62	4.24E-01	1.00E00
endopeptidase complex (GO:1905369)	98	1	1.63	-	.61	1.00E00	1.00E00
chromatin (GO:0000785)	793	8	13.22	-	.61	1.58E-01	1.00E00
heterochromatin (GO:0000792)	100	1	1.67	-	.60	1.00E00	1.00E00
P-body (GO:0000932)	100	1	1.67	-	.60	1.00E00	1.00E00
ruffle membrane (GO:0032587)	102	1	1.70	-	.59	1.00E00	1.00E00
mitochondrial outer membrane (GO:0005741)	210	2	3.50	-	.57	5.90E-01	1.00E00
germ cell nucleus (GO:0043073)	106	1	1.77	-	.57	1.00E00	1.00E00
respiratory chain complex (GO:0098803)	111	1	1.85	-	.54	1.00E00	1.00E00
endoplasmic reticulum-Golgi intermediate compartment (GO:0005793)	112	1	1.87	-	.54	1.00E00	1.00E00
PML body (GO:0016605)	115	1	1.92	-	.52	1.00E00	1.00E00
autophagosome (GO:0005776)	116	1	1.93	-	.52	1.00E00	1.00E00
lipid droplet (GO:0005811)	118	1	1.97	-	.51	1.00E00	1.00E00
midbody (GO:0030496)	238	2	3.97	-	.50	4.46E-01	1.00E00
motile cilium (GO:0031514)	362	3	6.03	-	.50	2.97E-01	1.00E00
serine/threonine protein kinase complex (GO:1902554)	122	1	2.03	-	.49	7.26E-01	1.00E00
photoreceptor cell cilium (GO:0097733)	123	1	2.05	-	.49	7.27E-01	1.00E00
endoplasmic reticulum lumen (GO:0005788)	126	1	2.10	-	.48	7.27E-01	1.00E00
ATPase complex (GO:1904949)	127	1	2.12	-	.47	7.27E-01	1.00E00
peptidase complex (GO:1905368)	128	1	2.13	-	.47	7.28E-01	1.00E00
cytoplasmic microtubule (GO:0005881)	129	1	2.15	-	.47	7.28E-01	1.00E00
chromosome, telomeric region (GO:0000781)	130	1	2.17	-	.46	7.28E-01	1.00E00
nuclear matrix (GO:0016363)	132	1	2.20	-	.45	7.29E-01	1.00E00
Unclassified (UNCLASSIFIED)	1069	8	17.82	-	.45	1.35E-02	2.48E-01
9+2 motile cilium (GO:0097729)	278	2	4.63	-	.43	3.39E-01	1.00E00
intermediate filament (GO:0005882)	143	1	2.38	-	.42	7.36E-01	1.00E00
mitochondrial envelope (GO:0005740)	864	6	14.40	-	.42	2.01E-02	3.39E-01
microbody (GO:0042579)	151	1	2.52	-	.40	5.25E-01	1.00E00
peroxisome (GO:0005777)	151	1	2.52	-	.40	5.25E-01	1.00E00
mitochondrial membrane (GO:0031966)	813	5	13.55	-	.37	1.15E-02	2.30E-01
kinetochore (GO:0000776)	172	1	2.87	-	.35	3.77E-01	1.00E00
mitochondrial protein-containing complex (GO:0098798)	173	1	2.88	-	.35	3.77E-01	1.00E00
condensed chromosome, centromeric region (GO:0000779)	184	1	3.07	-	.33	3.80E-01	1.00E00
mitochondrial matrix (GO:0005759)	377	2	6.28	-	.32	1.00E-01	8.92E-01
sperm flagellum (GO:0036126)	253	1	4.22	-	.24	1.36E-01	1.00E00
mitochondrial inner membrane (GO:0005743)	543	2	9.05	-	.22	9.98E-03	2.12E-01
nuclear chromosome (GO:0000228)	292	1	4.87	-	.21	9.99E-02	8.94E-01
organelle inner membrane (GO:0019866)	594	2	9.90	-	.20	5.06E-03	1.25E-01
condensed chromosome (GO:0000793)	342	1	5.70	-	.18	5.01E-02	5.92E-01
apoptosome (GO:0043293)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of transport vesicle membrane (GO:0098539)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
RAVE complex (GO:0043291)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
deuterosome (GO:0098536)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
dense core granule lumen (GO:0098898)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
spine apparatus membrane (GO:0098897)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
mitochondrial processing peptidase complex (GO:0017087)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
postsynaptic early endosome membrane (GO:0098896)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
postsynaptic endosome membrane (GO:0098895)	12	0	.20	-	 < 0.01	1.00E00	1.00E00
extrinsic component of presynaptic endocytic zone membrane (GO:0098894)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
CatSper complex (GO:0036128)	17	0	.28	-	 < 0.01	1.00E00	1.00E00
CHOP-C/EBP complex (GO:0036488)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
fatty acid beta-oxidation multienzyme complex (GO:0036125)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
sorting endosome (GO:0097443)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
CA3 pyramidal cell dendrite (GO:0097442)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
basal dendrite (GO:0097441)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
apical dendrite (GO:0097440)	31	0	.52	-	 < 0.01	1.00E00	1.00E00
late recombination nodule (GO:0005715)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear membrane protein complex (GO:0106083)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
matrix side of mitochondrial inner membrane (GO:0099617)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
recombination nodule (GO:0005713)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
serine-type peptidase complex (GO:1905286)	19	0	.32	-	 < 0.01	1.00E00	1.00E00
chiasma (GO:0005712)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class III (GO:0035032)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
gamma-catenin-TCF7L2 complex (GO:0071665)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
catenin-TCF7L2 complex (GO:0071664)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
RISC-loading complex (GO:0070578)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
hyaluranon cable (GO:0036117)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
trans-Golgi network transport vesicle membrane (GO:0012510)	19	0	.32	-	 < 0.01	1.00E00	1.00E00
intracellular cyclic nucleotide activated cation channel complex (GO:0017071)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
Rpd3L-Expanded complex (GO:0070210)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
dense body (GO:0097433)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
spectrin (GO:0008091)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
