




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Mus musculus - REFLIST (21836)	upload_1 (1411)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
dendritic spine head (GO:0044327)	15	3	.97	+	3.10	6.84E-02	3.66E-01
proximal dendrite (GO:1990635)	15	3	.97	+	3.10	6.84E-02	3.65E-01
presynaptic active zone membrane (GO:0048787)	75	15	4.85	+	3.10	7.64E-05	1.59E-03
dendrite membrane (GO:0032590)	56	11	3.62	+	3.04	7.92E-04	1.24E-02
mitotic spindle pole (GO:0097431)	41	8	2.65	+	3.02	4.20E-03	4.55E-02
protein folding chaperone complex (GO:0101031)	36	7	2.33	+	3.01	7.40E-03	7.19E-02
GABA-ergic synapse (GO:0098982)	170	33	10.99	+	3.00	1.12E-08	4.57E-07
postsynaptic cytosol (GO:0099524)	47	9	3.04	+	2.96	2.80E-03	3.40E-02
neuromuscular junction (GO:0031594)	111	21	7.17	+	2.93	7.64E-06	1.93E-04
cortical cytoskeleton (GO:0030863)	122	23	7.88	+	2.92	3.05E-06	8.56E-05
ciliary rootlet (GO:0035253)	16	3	1.03	+	2.90	8.03E-02	4.09E-01
eukaryotic translation initiation factor 3 complex (GO:0005852)	16	3	1.03	+	2.90	8.03E-02	4.08E-01
tricarboxylic acid cycle heteromeric enzyme complex (GO:0045239)	16	3	1.03	+	2.90	8.03E-02	4.07E-01
paranode region of axon (GO:0033270)	16	3	1.03	+	2.90	8.03E-02	4.06E-01
ESC/E(Z) complex (GO:0035098)	16	3	1.03	+	2.90	8.03E-02	4.05E-01
ribbon synapse (GO:0097470)	32	6	2.07	+	2.90	1.53E-02	1.23E-01
presynaptic active zone (GO:0048786)	140	26	9.05	+	2.87	9.56E-07	2.89E-05
presynaptic membrane (GO:0042734)	271	50	17.51	+	2.86	1.43E-11	9.20E-10
dendritic spine (GO:0043197)	244	45	15.77	+	2.85	1.51E-10	8.14E-09
U2-type catalytic step 2 spliceosome (GO:0071007)	38	7	2.46	+	2.85	1.00E-02	9.14E-02
presynaptic cytosol (GO:0099523)	49	9	3.17	+	2.84	3.76E-03	4.30E-02
pericentric heterochromatin (GO:0005721)	33	6	2.13	+	2.81	1.77E-02	1.34E-01
proton-transporting V-type ATPase, V0 domain (GO:0033179)	11	2	.71	+	2.81	1.56E-01	6.08E-01
presynaptic active zone cytoplasmic component (GO:0098831)	22	4	1.42	+	2.81	5.00E-02	3.00E-01
melanosome membrane (GO:0033162)	22	4	1.42	+	2.81	5.00E-02	2.99E-01
compact myelin (GO:0043218)	22	4	1.42	+	2.81	5.00E-02	2.98E-01
CENP-A containing nucleosome (GO:0043505)	11	2	.71	+	2.81	1.56E-01	6.07E-01
chitosome (GO:0045009)	22	4	1.42	+	2.81	5.00E-02	2.97E-01
TRAPPIII protein complex (GO:1990072)	11	2	.71	+	2.81	1.56E-01	6.06E-01
RPAP3/R2TP/prefoldin-like complex (GO:1990062)	11	2	.71	+	2.81	1.56E-01	6.05E-01
perisynaptic extracellular matrix (GO:0098966)	11	2	.71	+	2.81	1.56E-01	6.04E-01
CENP-A containing chromatin (GO:0061638)	11	2	.71	+	2.81	1.56E-01	6.03E-01
pigment granule membrane (GO:0090741)	22	4	1.42	+	2.81	5.00E-02	2.97E-01
neuron spine (GO:0044309)	249	45	16.09	+	2.80	3.01E-10	1.54E-08
neuron projection membrane (GO:0032589)	83	15	5.36	+	2.80	2.51E-04	4.72E-03
spliceosomal snRNP complex (GO:0097525)	61	11	3.94	+	2.79	1.65E-03	2.26E-02
SWI/SNF complex (GO:0016514)	28	5	1.81	+	2.76	3.17E-02	2.11E-01
cell cortex region (GO:0099738)	45	8	2.91	+	2.75	7.54E-03	7.26E-02
growth cone (GO:0030426)	237	42	15.31	+	2.74	2.16E-09	9.57E-08
Schmidt-Lanterman incisure (GO:0043220)	17	3	1.10	+	2.73	9.30E-02	4.49E-01
interstitial matrix (GO:0005614)	17	3	1.10	+	2.73	9.30E-02	4.48E-01
SMN-Sm protein complex (GO:0034719)	17	3	1.10	+	2.73	9.30E-02	4.47E-01
serine-type endopeptidase complex (GO:1905370)	17	3	1.10	+	2.73	9.30E-02	4.46E-01
prespliceosome (GO:0071010)	17	3	1.10	+	2.73	9.30E-02	4.45E-01
U2-type prespliceosome (GO:0071004)	17	3	1.10	+	2.73	9.30E-02	4.43E-01
chromocenter (GO:0010369)	17	3	1.10	+	2.73	9.30E-02	4.42E-01
site of polarized growth (GO:0030427)	245	43	15.83	+	2.72	1.90E-09	8.59E-08
cyclin-dependent protein kinase holoenzyme complex (GO:0000307)	57	10	3.68	+	2.72	3.27E-03	3.90E-02
sarcoplasmic reticulum membrane (GO:0033017)	40	7	2.58	+	2.71	1.32E-02	1.09E-01
synaptic membrane (GO:0097060)	583	102	37.67	+	2.71	1.58E-20	2.63E-18
peptidase inhibitor complex (GO:1904090)	23	4	1.49	+	2.69	5.75E-02	3.30E-01
mitotic spindle (GO:0072686)	180	31	11.63	+	2.67	5.13E-07	1.62E-05
T-tubule (GO:0030315)	76	13	4.91	+	2.65	1.09E-03	1.57E-02
neuron projection terminus (GO:0044306)	230	39	14.86	+	2.62	2.83E-08	1.06E-06
Z disc (GO:0030018)	148	25	9.56	+	2.61	8.96E-06	2.23E-04
terminal bouton (GO:0043195)	95	16	6.14	+	2.61	3.65E-04	6.62E-03
catalytic step 2 spliceosome (GO:0071013)	107	18	6.91	+	2.60	1.64E-04	3.23E-03
distal axon (GO:0150034)	424	71	27.40	+	2.59	1.17E-13	9.31E-12
deuterosome (GO:0098536)	6	1	.39	+	2.58	3.30E-01	9.16E-01
uniplex complex (GO:1990246)	6	1	.39	+	2.58	3.30E-01	9.15E-01
cortical granule (GO:0060473)	6	1	.39	+	2.58	3.30E-01	9.13E-01
phagolysosome (GO:0032010)	6	1	.39	+	2.58	3.30E-01	9.12E-01
mannosyltransferase complex (GO:0031501)	6	1	.39	+	2.58	3.30E-01	9.11E-01
histone pre-mRNA 3'end processing complex (GO:0071204)	6	1	.39	+	2.58	3.30E-01	9.10E-01
DNA-dependent protein kinase-DNA ligase 4 complex (GO:0005958)	6	1	.39	+	2.58	3.30E-01	9.08E-01
calcineurin complex (GO:0005955)	6	1	.39	+	2.58	3.30E-01	9.07E-01
Weibel-Palade body (GO:0033093)	6	1	.39	+	2.58	3.30E-01	9.06E-01
transcription factor TFIIIC complex (GO:0000127)	6	1	.39	+	2.58	3.30E-01	9.05E-01
paranodal junction (GO:0033010)	12	2	.78	+	2.58	1.79E-01	6.79E-01
collagen type XI trimer (GO:0005592)	6	1	.39	+	2.58	3.30E-01	9.03E-01
fibrillar collagen trimer (GO:0005583)	12	2	.78	+	2.58	1.79E-01	6.78E-01
NatA complex (GO:0031415)	6	1	.39	+	2.58	3.30E-01	9.02E-01
muscle myosin complex (GO:0005859)	6	1	.39	+	2.58	3.30E-01	9.01E-01
banded collagen fibril (GO:0098643)	12	2	.78	+	2.58	1.79E-01	6.77E-01
aster (GO:0005818)	12	2	.78	+	2.58	1.79E-01	6.75E-01
endoplasmic reticulum-plasma membrane contact site (GO:0140268)	12	2	.78	+	2.58	1.79E-01	6.74E-01
endodeoxyribonuclease complex (GO:1905347)	6	1	.39	+	2.58	3.30E-01	9.00E-01
intermediate-density lipoprotein particle (GO:0034363)	6	1	.39	+	2.58	3.30E-01	8.98E-01
procentriole replication complex (GO:0120099)	6	1	.39	+	2.58	3.30E-01	8.97E-01
germinal vesicle (GO:0042585)	6	1	.39	+	2.58	3.30E-01	8.96E-01
elongator holoenzyme complex (GO:0033588)	6	1	.39	+	2.58	3.30E-01	8.95E-01
CRD-mediated mRNA stability complex (GO:0070937)	6	1	.39	+	2.58	3.30E-01	8.94E-01
protein phosphatase 4 complex (GO:0030289)	6	1	.39	+	2.58	3.30E-01	8.92E-01
ribose phosphate diphosphokinase complex (GO:0002189)	6	1	.39	+	2.58	3.30E-01	8.91E-01
palmitoyltransferase complex (GO:0002178)	12	2	.78	+	2.58	1.79E-01	6.73E-01
external side of apical plasma membrane (GO:0098591)	6	1	.39	+	2.58	3.30E-01	8.90E-01
multivesicular body, internal vesicle (GO:0097487)	6	1	.39	+	2.58	3.30E-01	8.89E-01
TIM23 mitochondrial import inner membrane translocase complex (GO:0005744)	12	2	.78	+	2.58	1.79E-01	6.71E-01
TORC1 complex (GO:0031931)	6	1	.39	+	2.58	3.30E-01	8.87E-01
GAIT complex (GO:0097452)	6	1	.39	+	2.58	3.30E-01	8.86E-01
presynaptic endocytic zone (GO:0098833)	18	3	1.16	+	2.58	1.06E-01	4.97E-01
RNA polymerase III complex (GO:0005666)	18	3	1.16	+	2.58	1.06E-01	4.96E-01
DNA replication factor A complex (GO:0005662)	18	3	1.16	+	2.58	1.06E-01	4.95E-01
protein phosphatase type 2A complex (GO:0000159)	18	3	1.16	+	2.58	1.06E-01	4.94E-01
photoreceptor ribbon synapse (GO:0098684)	18	3	1.16	+	2.58	1.06E-01	4.92E-01
dense core granule (GO:0031045)	60	10	3.88	+	2.58	4.79E-03	4.98E-02
spindle microtubule (GO:0005876)	79	13	5.10	+	2.55	1.57E-03	2.17E-02
spindle pole (GO:0000922)	183	30	11.83	+	2.54	2.25E-06	6.70E-05
perikaryon (GO:0043204)	226	37	14.60	+	2.53	1.61E-07	5.43E-06
cortical actin cytoskeleton (GO:0030864)	92	15	5.94	+	2.52	7.83E-04	1.24E-02
postsynaptic membrane (GO:0045211)	406	66	26.23	+	2.52	4.73E-12	3.15E-10
sarcoplasmic reticulum (GO:0016529)	81	13	5.23	+	2.48	1.98E-03	2.58E-02
axon (GO:0030424)	861	137	55.64	+	2.46	3.26E-23	8.11E-21
axon terminus (GO:0043679)	208	33	13.44	+	2.46	2.38E-06	6.99E-05
voltage-gated potassium channel complex (GO:0008076)	82	13	5.30	+	2.45	2.22E-03	2.84E-02
Sm-like protein family complex (GO:0120114)	82	13	5.30	+	2.45	2.22E-03	2.82E-02
serine-type peptidase complex (GO:1905286)	19	3	1.23	+	2.44	1.21E-01	5.44E-01
lateral element (GO:0000800)	19	3	1.23	+	2.44	1.21E-01	5.43E-01
extrinsic component of synaptic membrane (GO:0099243)	38	6	2.46	+	2.44	3.36E-02	2.22E-01
filopodium membrane (GO:0031527)	19	3	1.23	+	2.44	1.21E-01	5.42E-01
alpha-ketoacid dehydrogenase complex (GO:0045240)	19	3	1.23	+	2.44	1.21E-01	5.40E-01
small nuclear ribonucleoprotein complex (GO:0030532)	70	11	4.52	+	2.43	5.04E-03	5.18E-02
kinetochore (GO:0000776)	172	27	11.11	+	2.43	2.58E-05	5.79E-04
leading edge membrane (GO:0031256)	205	32	13.25	+	2.42	4.17E-06	1.12E-04
sarcoplasm (GO:0016528)	109	17	7.04	+	2.41	6.13E-04	9.85E-03
basement membrane (GO:0005604)	122	19	7.88	+	2.41	3.07E-04	5.61E-03
microtubule plus-end (GO:0035371)	26	4	1.68	+	2.38	8.35E-02	4.19E-01
RNA cap binding complex (GO:0034518)	13	2	.84	+	2.38	2.04E-01	6.82E-01
synapse-associated extracellular matrix (GO:0099535)	13	2	.84	+	2.38	2.04E-01	6.81E-01
endolysosome (GO:0036019)	13	2	.84	+	2.38	2.04E-01	6.80E-01
fascia adherens (GO:0005916)	13	2	.84	+	2.38	2.04E-01	6.79E-01
microfibril (GO:0001527)	13	2	.84	+	2.38	2.04E-01	6.77E-01
pore complex (GO:0046930)	26	4	1.68	+	2.38	8.35E-02	4.18E-01
glutamatergic synapse (GO:0098978)	857	131	55.38	+	2.37	1.29E-20	2.34E-18
I band (GO:0031674)	164	25	10.60	+	2.36	7.05E-05	1.48E-03
condensed chromosome, centromeric region (GO:0000779)	184	28	11.89	+	2.35	2.47E-05	5.67E-04
endoplasmic reticulum-Golgi intermediate compartment (GO:0005793)	112	17	7.24	+	2.35	8.40E-04	1.31E-02
cell cortex (GO:0005938)	363	55	23.46	+	2.34	3.73E-09	1.58E-07
costamere (GO:0043034)	20	3	1.29	+	2.32	1.35E-01	5.51E-01
Prp19 complex (GO:0000974)	20	3	1.29	+	2.32	1.35E-01	5.50E-01
intercalated disc (GO:0014704)	67	10	4.33	+	2.31	1.05E-02	9.43E-02
postsynaptic endosome (GO:0098845)	27	4	1.74	+	2.29	9.32E-02	4.43E-01
sodium channel complex (GO:0034706)	27	4	1.74	+	2.29	9.32E-02	4.42E-01
potassium channel complex (GO:0034705)	96	14	6.20	+	2.26	5.02E-03	5.18E-02
actin filament bundle (GO:0032432)	110	16	7.11	+	2.25	2.49E-03	3.09E-02
chromosome, centromeric region (GO:0000775)	256	37	16.54	+	2.24	4.22E-06	1.12E-04
neuronal cell body (GO:0043025)	810	117	52.34	+	2.24	1.84E-16	1.93E-14
presynapse (GO:0098793)	868	125	56.09	+	2.23	1.44E-17	1.80E-15
collagen-containing extracellular matrix (GO:0062023)	391	56	25.27	+	2.22	1.87E-08	7.48E-07
extrinsic component of presynaptic endocytic zone membrane (GO:0098894)	7	1	.45	+	2.21	3.74E-01	9.83E-01
matrix side of mitochondrial inner membrane (GO:0099617)	7	1	.45	+	2.21	3.74E-01	9.81E-01
dense body (GO:0097433)	7	1	.45	+	2.21	3.74E-01	9.80E-01
BRISC complex (GO:0070552)	7	1	.45	+	2.21	3.74E-01	9.79E-01
microtubule minus-end (GO:0036449)	7	1	.45	+	2.21	3.74E-01	9.77E-01
postsynaptic early endosome (GO:0098842)	7	1	.45	+	2.21	3.74E-01	9.76E-01
dendritic branch (GO:0044307)	7	1	.45	+	2.21	3.74E-01	9.75E-01
lateral loop (GO:0043219)	7	1	.45	+	2.21	3.74E-01	9.74E-01
prefoldin complex (GO:0016272)	7	1	.45	+	2.21	3.74E-01	9.72E-01
Cdc73/Paf1 complex (GO:0016593)	7	1	.45	+	2.21	3.74E-01	9.71E-01
uropod (GO:0001931)	14	2	.90	+	2.21	2.28E-01	7.46E-01
cytosolic proteasome complex (GO:0031597)	7	1	.45	+	2.21	3.74E-01	9.70E-01
U7 snRNP (GO:0005683)	7	1	.45	+	2.21	3.74E-01	9.69E-01
PTW/PP1 phosphatase complex (GO:0072357)	7	1	.45	+	2.21	3.74E-01	9.67E-01
annulate lamellae (GO:0005642)	7	1	.45	+	2.21	3.74E-01	9.66E-01
outer mitochondrial membrane protein complex (GO:0098799)	14	2	.90	+	2.21	2.28E-01	7.45E-01
DNA recombinase mediator complex (GO:0033061)	7	1	.45	+	2.21	3.74E-01	9.65E-01
zonula adherens (GO:0005915)	7	1	.45	+	2.21	3.74E-01	9.64E-01
THO complex part of transcription export complex (GO:0000445)	7	1	.45	+	2.21	3.74E-01	9.62E-01
photoreceptor outer segment membrane (GO:0042622)	14	2	.90	+	2.21	2.28E-01	7.44E-01
Lsm2-8 complex (GO:0120115)	7	1	.45	+	2.21	3.74E-01	9.61E-01
sperm mitochondrial sheath (GO:0097226)	7	1	.45	+	2.21	3.74E-01	9.60E-01
THO complex (GO:0000347)	7	1	.45	+	2.21	3.74E-01	9.59E-01
postsynaptic recycling endosome membrane (GO:0098944)	7	1	.45	+	2.21	3.74E-01	9.57E-01
G protein-coupled receptor dimeric complex (GO:0038037)	7	1	.45	+	2.21	3.74E-01	9.56E-01
basal cortex (GO:0045180)	7	1	.45	+	2.21	3.74E-01	9.55E-01
endoplasmic reticulum lumen (GO:0005788)	126	18	8.14	+	2.21	1.45E-03	2.05E-02
meiotic cohesin complex (GO:0030893)	7	1	.45	+	2.21	3.74E-01	9.54E-01
mitochondrial permeability transition pore complex (GO:0005757)	7	1	.45	+	2.21	3.74E-01	9.52E-01
cytoplasmic side of endosome membrane (GO:0010009)	7	1	.45	+	2.21	3.74E-01	9.51E-01
central region of growth cone (GO:0090724)	7	1	.45	+	2.21	3.74E-01	9.50E-01
telomerase holoenzyme complex (GO:0005697)	21	3	1.36	+	2.21	1.51E-01	5.98E-01
U2 snRNP (GO:0005686)	21	3	1.36	+	2.21	1.51E-01	5.97E-01
phagophore assembly site membrane (GO:0034045)	21	3	1.36	+	2.21	1.51E-01	5.96E-01
transcription export complex (GO:0000346)	21	3	1.36	+	2.21	1.51E-01	5.94E-01
cell body (GO:0044297)	903	128	58.35	+	2.19	2.02E-17	2.37E-15
cell-cell contact zone (GO:0044291)	92	13	5.94	+	2.19	8.24E-03	7.79E-02
replication fork (GO:0005657)	78	11	5.04	+	2.18	1.68E-02	1.32E-01
dendrite (GO:0030425)	855	120	55.25	+	2.17	6.95E-16	6.93E-14
postsynapse (GO:0098794)	1042	146	67.33	+	2.17	2.61E-19	4.00E-17
dendritic tree (GO:0097447)	857	120	55.38	+	2.17	7.47E-16	7.10E-14
heterochromatin (GO:0000792)	100	14	6.46	+	2.17	6.18E-03	6.22E-02
sarcolemma (GO:0042383)	186	26	12.02	+	2.16	2.20E-04	4.26E-03
microtubule end (GO:1990752)	36	5	2.33	+	2.15	7.99E-02	4.09E-01
exocytic vesicle membrane (GO:0099501)	173	24	11.18	+	2.15	4.47E-04	7.75E-03
synaptic vesicle membrane (GO:0030672)	173	24	11.18	+	2.15	4.47E-04	7.68E-03
postsynaptic specialization (GO:0099572)	513	71	33.15	+	2.14	1.48E-09	7.04E-08
apicolateral plasma membrane (GO:0016327)	29	4	1.87	+	2.13	1.14E-01	5.18E-01
somatodendritic compartment (GO:0036477)	1204	165	77.80	+	2.12	1.18E-20	2.35E-18
synapse (GO:0045202)	1904	260	123.03	+	2.11	7.55E-33	5.02E-30
exosome (RNase complex) (GO:0000178)	22	3	1.42	+	2.11	1.67E-01	6.39E-01
cholinergic synapse (GO:0098981)	22	3	1.42	+	2.11	1.67E-01	6.38E-01
filopodium (GO:0030175)	118	16	7.62	+	2.10	4.20E-03	4.53E-02
postsynaptic specialization membrane (GO:0099634)	200	27	12.92	+	2.09	2.48E-04	4.71E-03
asymmetric synapse (GO:0032279)	484	65	31.28	+	2.08	1.92E-08	7.51E-07
synaptic vesicle (GO:0008021)	284	38	18.35	+	2.07	2.41E-05	5.60E-04
endosome lumen (GO:0031904)	15	2	.97	+	2.06	2.52E-01	7.70E-01
RSC-type complex (GO:0016586)	15	2	.97	+	2.06	2.52E-01	7.68E-01
cell trailing edge (GO:0031254)	15	2	.97	+	2.06	2.52E-01	7.67E-01
RNA polymerase II, core complex (GO:0005665)	15	2	.97	+	2.06	2.52E-01	7.66E-01
excitatory synapse (GO:0060076)	105	14	6.78	+	2.06	8.50E-03	7.89E-02
nuclear exosome (RNase complex) (GO:0000176)	15	2	.97	+	2.06	2.52E-01	7.65E-01
synaptic cleft (GO:0043083)	30	4	1.94	+	2.06	1.25E-01	5.18E-01
mitotic spindle midzone (GO:1990023)	15	2	.97	+	2.06	2.52E-01	7.64E-01
ISWI-type complex (GO:0031010)	15	2	.97	+	2.06	2.52E-01	7.63E-01
protein kinase complex (GO:1902911)	135	18	8.72	+	2.06	3.93E-03	4.45E-02
cytoplasmic stress granule (GO:0010494)	98	13	6.33	+	2.05	1.17E-02	1.04E-01
collagen trimer (GO:0005581)	83	11	5.36	+	2.05	2.15E-02	1.59E-01
neuron projection (GO:0043005)	1642	217	106.10	+	2.05	3.06E-25	1.02E-22
spindle (GO:0005819)	434	57	28.04	+	2.03	3.15E-07	1.01E-05
neuron to neuron synapse (GO:0098984)	528	69	34.12	+	2.02	2.55E-08	9.77E-07
extracellular matrix (GO:0031012)	521	68	33.67	+	2.02	3.50E-08	1.29E-06
postsynaptic density (GO:0014069)	460	60	29.72	+	2.02	2.26E-07	7.40E-06
external encapsulating structure (GO:0030312)	523	68	33.80	+	2.01	3.78E-08	1.37E-06
contractile actin filament bundle (GO:0097517)	100	13	6.46	+	2.01	1.34E-02	1.10E-01
stress fiber (GO:0001725)	100	13	6.46	+	2.01	1.34E-02	1.09E-01
exocytic vesicle (GO:0070382)	301	39	19.45	+	2.01	4.27E-05	9.37E-04
cell junction (GO:0030054)	2534	328	163.74	+	2.00	2.29E-37	4.57E-34
microtubule (GO:0005874)	489	63	31.60	+	1.99	1.89E-07	6.28E-06
cell projection membrane (GO:0031253)	396	51	25.59	+	1.99	2.42E-06	6.99E-05
actomyosin (GO:0042641)	109	14	7.04	+	1.99	1.63E-02	1.29E-01
microtubule associated complex (GO:0005875)	148	19	9.56	+	1.99	3.79E-03	4.31E-02
lateral plasma membrane (GO:0016328)	78	10	5.04	+	1.98	3.37E-02	2.21E-01
neurotransmitter receptor complex (GO:0098878)	47	6	3.04	+	1.98	1.24E-01	5.54E-01
SWI/SNF superfamily-type complex (GO:0070603)	94	12	6.07	+	1.98	1.97E-02	1.47E-01
secretory granule membrane (GO:0030667)	119	15	7.69	+	1.95	1.30E-02	1.09E-01
Schaffer collateral - CA1 synapse (GO:0098685)	151	19	9.76	+	1.95	6.70E-03	6.62E-02
extrinsic component of postsynaptic membrane (GO:0098890)	24	3	1.55	+	1.93	2.00E-01	6.76E-01
pericentriolar material (GO:0000242)	24	3	1.55	+	1.93	2.00E-01	6.75E-01
cation channel complex (GO:0034703)	216	27	13.96	+	1.93	1.12E-03	1.60E-02
mRNA cleavage factor complex (GO:0005849)	24	3	1.55	+	1.93	2.00E-01	6.73E-01
organellar large ribosomal subunit (GO:0000315)	56	7	3.62	+	1.93	9.15E-02	4.44E-01
mitochondrial large ribosomal subunit (GO:0005762)	56	7	3.62	+	1.93	9.15E-02	4.43E-01
cytosolic small ribosomal subunit (GO:0022627)	40	5	2.58	+	1.93	1.82E-01	6.33E-01
RISC-loading complex (GO:0070578)	8	1	.52	+	1.93	4.14E-01	1.00E00
microbody lumen (GO:0031907)	32	4	2.07	+	1.93	1.49E-01	5.95E-01
growth factor complex (GO:0036454)	8	1	.52	+	1.93	4.14E-01	1.00E00
migrasome (GO:0140494)	8	1	.52	+	1.93	4.14E-01	1.00E00
bleb (GO:0032059)	8	1	.52	+	1.93	4.14E-01	1.00E00
photoreceptor inner segment (GO:0001917)	72	9	4.65	+	1.93	4.98E-02	3.01E-01
origin recognition complex (GO:0000808)	8	1	.52	+	1.93	4.14E-01	1.00E00
central element (GO:0000801)	8	1	.52	+	1.93	4.14E-01	1.00E00
U6 snRNP (GO:0005688)	8	1	.52	+	1.93	4.14E-01	1.00E00
U5 snRNP (GO:0005682)	16	2	1.03	+	1.93	2.77E-01	8.21E-01
shelterin complex (GO:0070187)	8	1	.52	+	1.93	4.14E-01	1.00E00
presynaptic cytoskeleton (GO:0099569)	8	1	.52	+	1.93	4.14E-01	1.00E00
nuclear origin of replication recognition complex (GO:0005664)	8	1	.52	+	1.93	4.14E-01	1.00E00
RNA N6-methyladenosine methyltransferase complex (GO:0036396)	8	1	.52	+	1.93	4.14E-01	1.00E00
eukaryotic translation initiation factor 3 complex, eIF3m (GO:0071541)	8	1	.52	+	1.93	4.14E-01	1.00E00
gap junction (GO:0005921)	32	4	2.07	+	1.93	1.49E-01	5.94E-01
nonhomologous end joining complex (GO:0070419)	8	1	.52	+	1.93	4.14E-01	1.00E00
euchromatin (GO:0000791)	72	9	4.65	+	1.93	4.98E-02	3.00E-01
aryl hydrocarbon receptor complex (GO:0034751)	8	1	.52	+	1.93	4.14E-01	1.00E00
centriolar subdistal appendage (GO:0120103)	8	1	.52	+	1.93	4.14E-01	1.00E00
acetylcholine-gated channel complex (GO:0005892)	16	2	1.03	+	1.93	2.77E-01	8.19E-01
mitotic spindle astral microtubule (GO:0061673)	8	1	.52	+	1.93	4.14E-01	1.00E00
glycogen granule (GO:0042587)	8	1	.52	+	1.93	4.14E-01	1.00E00
Ctf18 RFC-like complex (GO:0031390)	8	1	.52	+	1.93	4.14E-01	1.00E00
peroxisomal matrix (GO:0005782)	32	4	2.07	+	1.93	1.49E-01	5.93E-01
serine/threonine protein kinase complex (GO:1902554)	122	15	7.88	+	1.90	1.48E-02	1.19E-01
plasma membrane region (GO:0098590)	1546	190	99.90	+	1.90	1.80E-18	2.57E-16
caveola (GO:0005901)	106	13	6.85	+	1.90	2.60E-02	1.79E-01
transcription repressor complex (GO:0017053)	82	10	5.30	+	1.89	4.23E-02	2.61E-01
integrin complex (GO:0008305)	33	4	2.13	+	1.88	1.62E-01	6.21E-01
SCF ubiquitin ligase complex (GO:0019005)	66	8	4.26	+	1.88	7.38E-02	3.80E-01
chromosomal region (GO:0098687)	372	45	24.04	+	1.87	6.54E-05	1.39E-03
axon cytoplasm (GO:1904115)	58	7	3.75	+	1.87	9.96E-02	4.68E-01
cell leading edge (GO:0031252)	481	58	31.08	+	1.87	4.99E-06	1.29E-04
melanosome (GO:0042470)	108	13	6.98	+	1.86	2.81E-02	1.92E-01
pigment granule (GO:0048770)	108	13	6.98	+	1.86	2.81E-02	1.91E-01
postsynaptic density membrane (GO:0098839)	158	19	10.21	+	1.86	8.41E-03	7.87E-02
extrinsic component of synaptic vesicle membrane (GO:0098850)	25	3	1.62	+	1.86	2.17E-01	7.15E-01
proton-transporting two-sector ATPase complex, proton-transporting domain (GO:0033177)	25	3	1.62	+	1.86	2.17E-01	7.14E-01
exoribonuclease complex (GO:1905354)	25	3	1.62	+	1.86	2.17E-01	7.13E-01
intercellular bridge (GO:0045171)	100	12	6.46	+	1.86	3.74E-02	2.39E-01
mitochondrial intermembrane space (GO:0005758)	92	11	5.94	+	1.85	5.04E-02	2.98E-01
adherens junction (GO:0005912)	176	21	11.37	+	1.85	7.78E-03	7.38E-02
extrinsic component of organelle membrane (GO:0031312)	42	5	2.71	+	1.84	1.93E-01	6.54E-01
protein complex involved in cell adhesion (GO:0098636)	59	7	3.81	+	1.84	1.04E-01	4.88E-01
ATPase complex (GO:1904949)	127	15	8.21	+	1.83	2.69E-02	1.84E-01
ruffle membrane (GO:0032587)	102	12	6.59	+	1.82	4.03E-02	2.51E-01
NuRD complex (GO:0016581)	17	2	1.10	+	1.82	3.02E-01	8.53E-01
microvillus membrane (GO:0031528)	34	4	2.20	+	1.82	2.77E-01	8.20E-01
TRAPP complex (GO:0030008)	17	2	1.10	+	1.82	3.02E-01	8.52E-01
CHD-type complex (GO:0090545)	17	2	1.10	+	1.82	3.02E-01	8.50E-01
COP9 signalosome (GO:0008180)	34	4	2.20	+	1.82	2.77E-01	8.19E-01
lamellar body (GO:0042599)	17	2	1.10	+	1.82	3.02E-01	8.49E-01
nuclear periphery (GO:0034399)	162	19	10.47	+	1.82	1.45E-02	1.17E-01
fibrillar center (GO:0001650)	154	18	9.95	+	1.81	1.29E-02	1.09E-01
perinuclear region of cytoplasm (GO:0048471)	865	101	55.89	+	1.81	7.23E-09	3.00E-07
spliceosomal complex (GO:0005681)	223	26	14.41	+	1.80	3.57E-03	4.21E-02
extrinsic component of plasma membrane (GO:0019897)	129	15	8.34	+	1.80	2.83E-02	1.92E-01
apical junction complex (GO:0043296)	173	20	11.18	+	1.79	1.17E-02	1.04E-01
postsynaptic cytoskeleton (GO:0099571)	26	3	1.68	+	1.79	2.34E-01	7.62E-01
vacuolar proton-transporting V-type ATPase complex (GO:0016471)	26	3	1.68	+	1.79	2.34E-01	7.60E-01
90S preribosome (GO:0030686)	26	3	1.68	+	1.79	2.34E-01	7.59E-01
nuclear replisome (GO:0043601)	26	3	1.68	+	1.79	2.34E-01	7.58E-01
proteasome accessory complex (GO:0022624)	26	3	1.68	+	1.79	2.34E-01	7.57E-01
polymeric cytoskeletal fiber (GO:0099513)	757	87	48.92	+	1.78	1.55E-07	5.34E-06
supramolecular fiber (GO:0099512)	1021	117	65.98	+	1.77	1.32E-09	6.40E-08
