




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21836)	upload_1 (364)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
camera-type eye morphogenesis (GO:0048593)	159	6	2.65	+	2.26	5.07E-02	7.30E-01
regulation of T cell receptor signaling pathway (GO:0050856)	53	2	.88	+	2.26	2.21E-01	1.00E00
positive regulation of insulin secretion involved in cellular response to glucose stimulus (GO:0035774)	53	2	.88	+	2.26	2.21E-01	1.00E00
MAPK cascade (GO:0000165)	212	8	3.53	+	2.26	2.63E-02	5.62E-01
organophosphate ester transport (GO:0015748)	159	6	2.65	+	2.26	5.07E-02	7.30E-01
protein alkylation (GO:0008213)	53	2	.88	+	2.26	2.21E-01	1.00E00
positive regulation of vasoconstriction (GO:0045907)	53	2	.88	+	2.26	2.21E-01	1.00E00
regulation of protein tyrosine kinase activity (GO:0061097)	53	2	.88	+	2.26	2.21E-01	1.00E00
positive regulation of secretion by cell (GO:1903532)	398	15	6.63	+	2.26	4.14E-03	2.04E-01
glycerolipid metabolic process (GO:0046486)	345	13	5.75	+	2.26	8.40E-03	3.26E-01
intracellular signaling cassette (GO:0141124)	824	31	13.74	+	2.26	3.46E-05	5.38E-03
ribonucleoside diphosphate metabolic process (GO:0009185)	80	3	1.33	+	2.25	1.49E-01	1.00E00
negative regulation of leukocyte mediated immunity (GO:0002704)	80	3	1.33	+	2.25	1.49E-01	1.00E00
regulation of locomotion (GO:0040012)	1149	43	19.15	+	2.25	6.89E-07	2.26E-04
positive regulation of exocytosis (GO:0045921)	107	4	1.78	+	2.24	1.04E-01	1.00E00
response to mechanical stimulus (GO:0009612)	241	9	4.02	+	2.24	2.02E-02	4.85E-01
cellular response to hormone stimulus (GO:0032870)	563	21	9.39	+	2.24	6.13E-04	5.43E-02
regulation of endocytosis (GO:0030100)	350	13	5.83	+	2.23	8.84E-03	3.39E-01
positive regulation of bone resorption (GO:0045780)	27	1	.45	+	2.22	3.65E-01	1.00E00
positive regulation of fatty acid biosynthetic process (GO:0045723)	27	1	.45	+	2.22	3.65E-01	1.00E00
nerve development (GO:0021675)	108	4	1.80	+	2.22	1.07E-01	1.00E00
fusion of sperm to egg plasma membrane involved in single fertilization (GO:0007342)	27	1	.45	+	2.22	3.65E-01	1.00E00
cardiac epithelial to mesenchymal transition (GO:0060317)	27	1	.45	+	2.22	3.65E-01	1.00E00
neutrophil mediated immunity (GO:0002446)	27	1	.45	+	2.22	3.65E-01	1.00E00
regulation of cellular response to vascular endothelial growth factor stimulus (GO:1902547)	27	1	.45	+	2.22	3.65E-01	1.00E00
positive regulation of syncytium formation by plasma membrane fusion (GO:0060143)	27	1	.45	+	2.22	3.65E-01	1.00E00
positive regulation of superoxide anion generation (GO:0032930)	27	1	.45	+	2.22	3.65E-01	1.00E00
regulation of establishment or maintenance of cell polarity (GO:0032878)	27	1	.45	+	2.22	3.65E-01	1.00E00
positive regulation of interleukin-4 production (GO:0032753)	27	1	.45	+	2.22	3.65E-01	1.00E00
cellular response to pH (GO:0071467)	27	1	.45	+	2.22	3.65E-01	1.00E00
regulation of glutamate secretion (GO:0014048)	27	1	.45	+	2.22	3.65E-01	1.00E00
neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0099645)	27	1	.45	+	2.22	3.65E-01	1.00E00
protein localization to postsynaptic specialization membrane (GO:0099633)	27	1	.45	+	2.22	3.65E-01	1.00E00
regulation of presynaptic cytosolic calcium ion concentration (GO:0099509)	27	1	.45	+	2.22	3.65E-01	1.00E00
peptide cross-linking (GO:0018149)	27	1	.45	+	2.22	3.65E-01	1.00E00
mitochondrial calcium ion homeostasis (GO:0051560)	27	1	.45	+	2.22	3.65E-01	1.00E00
positive regulation of release of cytochrome c from mitochondria (GO:0090200)	27	1	.45	+	2.22	3.65E-01	1.00E00
negative regulation of T cell receptor signaling pathway (GO:0050860)	27	1	.45	+	2.22	3.65E-01	1.00E00
positive regulation of antigen receptor-mediated signaling pathway (GO:0050857)	27	1	.45	+	2.22	3.65E-01	1.00E00
positive regulation of leukocyte adhesion to vascular endothelial cell (GO:1904996)	27	1	.45	+	2.22	3.65E-01	1.00E00
detection of light stimulus (GO:0009583)	54	2	.90	+	2.22	2.27E-01	1.00E00
regulation of excitatory synapse assembly (GO:1904889)	27	1	.45	+	2.22	3.65E-01	1.00E00
Rac protein signal transduction (GO:0016601)	27	1	.45	+	2.22	3.65E-01	1.00E00
positive regulation of nitric oxide metabolic process (GO:1904407)	54	2	.90	+	2.22	2.27E-01	1.00E00
C4-dicarboxylate transport (GO:0015740)	27	1	.45	+	2.22	3.65E-01	1.00E00
filopodium assembly (GO:0046847)	27	1	.45	+	2.22	3.65E-01	1.00E00
secondary palate development (GO:0062009)	27	1	.45	+	2.22	3.65E-01	1.00E00
negative regulation of keratinocyte proliferation (GO:0010839)	27	1	.45	+	2.22	3.65E-01	1.00E00
regulation of ERAD pathway (GO:1904292)	27	1	.45	+	2.22	3.65E-01	1.00E00
muscle cell cellular homeostasis (GO:0046716)	27	1	.45	+	2.22	3.65E-01	1.00E00
programmed cell death involved in cell development (GO:0010623)	27	1	.45	+	2.22	3.65E-01	1.00E00
positive regulation of Rho protein signal transduction (GO:0035025)	27	1	.45	+	2.22	3.65E-01	1.00E00
signal transduction involved in regulation of gene expression (GO:0023019)	27	1	.45	+	2.22	3.65E-01	1.00E00
positive regulation of activated T cell proliferation (GO:0042104)	27	1	.45	+	2.22	3.65E-01	1.00E00
B cell proliferation (GO:0042100)	54	2	.90	+	2.22	2.27E-01	1.00E00
amelogenesis (GO:0097186)	27	1	.45	+	2.22	3.65E-01	1.00E00
intestinal epithelial cell differentiation (GO:0060575)	27	1	.45	+	2.22	3.65E-01	1.00E00
granulocyte chemotaxis (GO:0071621)	81	3	1.35	+	2.22	1.53E-01	1.00E00
positive regulation of peptidyl-serine phosphorylation (GO:0033138)	81	3	1.35	+	2.22	1.53E-01	1.00E00
dendrite morphogenesis (GO:0048813)	81	3	1.35	+	2.22	1.53E-01	1.00E00
regulation of cytosolic calcium ion concentration (GO:0051480)	81	3	1.35	+	2.22	1.53E-01	1.00E00
positive regulation of pattern recognition receptor signaling pathway (GO:0062208)	81	3	1.35	+	2.22	1.53E-01	1.00E00
body fluid secretion (GO:0007589)	81	3	1.35	+	2.22	1.53E-01	1.00E00
regulation of cell size (GO:0008361)	217	8	3.62	+	2.21	2.96E-02	6.04E-01
response to hexose (GO:0009746)	163	6	2.72	+	2.21	5.59E-02	7.61E-01
monoatomic cation transport (GO:0006812)	789	29	13.15	+	2.20	8.47E-05	1.13E-02
kidney development (GO:0001822)	354	13	5.90	+	2.20	9.26E-03	3.38E-01
positive regulation of leukocyte differentiation (GO:1902107)	218	8	3.63	+	2.20	3.03E-02	6.16E-01
negative regulation of cellular response to growth factor stimulus (GO:0090288)	109	4	1.82	+	2.20	1.09E-01	1.00E00
positive regulation of hemopoiesis (GO:1903708)	218	8	3.63	+	2.20	3.03E-02	6.15E-01
regulation of cell migration (GO:0030334)	1037	38	17.29	+	2.20	5.24E-06	1.12E-03
nervous system development (GO:0007399)	2239	82	37.32	+	2.20	5.50E-12	2.12E-08
protein O-linked glycosylation (GO:0006493)	82	3	1.37	+	2.19	1.57E-01	1.00E00
regulation of carbohydrate catabolic process (GO:0043470)	82	3	1.37	+	2.19	1.57E-01	1.00E00
regulation of neurogenesis (GO:0050767)	466	17	7.77	+	2.19	2.63E-03	1.53E-01
angiogenesis (GO:0001525)	357	13	5.95	+	2.18	9.61E-03	3.48E-01
learning or memory (GO:0007611)	357	13	5.95	+	2.18	9.61E-03	3.47E-01
regulation of acute inflammatory response (GO:0002673)	55	2	.92	+	2.18	2.33E-01	1.00E00
cell differentiation in spinal cord (GO:0021515)	55	2	.92	+	2.18	2.33E-01	1.00E00
regulation of DNA binding (GO:0051101)	110	4	1.83	+	2.18	1.12E-01	1.00E00
secondary metabolic process (GO:0019748)	55	2	.92	+	2.18	2.33E-01	1.00E00
regulation of cell motility (GO:2000145)	1101	40	18.35	+	2.18	4.54E-06	9.99E-04
inorganic ion transmembrane transport (GO:0098660)	719	26	11.99	+	2.17	2.62E-04	2.73E-02
protein localization to synapse (GO:0035418)	83	3	1.38	+	2.17	1.61E-01	1.00E00
regulation of protein localization to cell periphery (GO:1904375)	166	6	2.77	+	2.17	6.00E-02	8.04E-01
ventricular septum development (GO:0003281)	83	3	1.38	+	2.17	1.61E-01	1.00E00
cardiac ventricle morphogenesis (GO:0003208)	83	3	1.38	+	2.17	1.61E-01	1.00E00
acylglycerol metabolic process (GO:0006639)	111	4	1.85	+	2.16	1.15E-01	1.00E00
regulation of peptidyl-serine phosphorylation (GO:0033135)	111	4	1.85	+	2.16	1.15E-01	1.00E00
amide biosynthetic process (GO:0043604)	139	5	2.32	+	2.16	8.34E-02	9.13E-01
monoatomic ion transmembrane transport (GO:0034220)	779	28	12.99	+	2.16	1.49E-04	1.80E-02
blood vessel morphogenesis (GO:0048514)	473	17	7.88	+	2.16	2.96E-03	1.63E-01
glycoprotein metabolic process (GO:0009100)	334	12	5.57	+	2.16	1.42E-02	4.27E-01
regulation of monoatomic cation transmembrane transport (GO:1904062)	334	12	5.57	+	2.16	1.42E-02	4.26E-01
heart growth (GO:0060419)	56	2	.93	+	2.14	2.40E-01	1.00E00
intracellular sodium ion homeostasis (GO:0006883)	28	1	.47	+	2.14	3.76E-01	1.00E00
stress granule assembly (GO:0034063)	28	1	.47	+	2.14	3.76E-01	1.00E00
positive regulation of lipase activity (GO:0060193)	28	1	.47	+	2.14	3.76E-01	1.00E00
negative regulation of stem cell proliferation (GO:2000647)	28	1	.47	+	2.14	3.76E-01	1.00E00
positive regulation of natural killer cell activation (GO:0032816)	28	1	.47	+	2.14	3.76E-01	1.00E00
positive regulation of synapse assembly (GO:0051965)	84	3	1.40	+	2.14	1.65E-01	1.00E00
positive regulation of amine transport (GO:0051954)	56	2	.93	+	2.14	2.40E-01	1.00E00
response to vitamin D (GO:0033280)	28	1	.47	+	2.14	3.76E-01	1.00E00
regulation of amine metabolic process (GO:0033238)	28	1	.47	+	2.14	3.76E-01	1.00E00
positive regulation of interleukin-17 production (GO:0032740)	28	1	.47	+	2.14	3.76E-01	1.00E00
lens morphogenesis in camera-type eye (GO:0002089)	28	1	.47	+	2.14	3.76E-01	1.00E00
cellular response to cAMP (GO:0071320)	56	2	.93	+	2.14	2.40E-01	1.00E00
actin nucleation (GO:0045010)	28	1	.47	+	2.14	3.76E-01	1.00E00
regulation of mast cell activation (GO:0033003)	28	1	.47	+	2.14	3.76E-01	1.00E00
glutamatergic neuron differentiation (GO:1905962)	28	1	.47	+	2.14	3.76E-01	1.00E00
modification of synaptic structure (GO:0099563)	28	1	.47	+	2.14	3.76E-01	1.00E00
animal organ maturation (GO:0048799)	28	1	.47	+	2.14	3.76E-01	1.00E00
regulation of non-canonical Wnt signaling pathway (GO:2000050)	28	1	.47	+	2.14	3.76E-01	1.00E00
regulation of flagellated sperm motility (GO:1901317)	28	1	.47	+	2.14	3.76E-01	1.00E00
negative regulation of non-canonical NF-kappaB signal transduction (GO:1901223)	28	1	.47	+	2.14	3.76E-01	1.00E00
regulation of postsynaptic specialization assembly (GO:0099150)	28	1	.47	+	2.14	3.76E-01	1.00E00
membrane raft organization (GO:0031579)	28	1	.47	+	2.14	3.76E-01	1.00E00
cellular response to vascular endothelial growth factor stimulus (GO:0035924)	84	3	1.40	+	2.14	1.65E-01	1.00E00
ruffle organization (GO:0031529)	28	1	.47	+	2.14	3.76E-01	1.00E00
alternative mRNA splicing, via spliceosome (GO:0000380)	28	1	.47	+	2.14	3.76E-01	1.00E00
positive regulation of transport (GO:0051050)	1064	38	17.74	+	2.14	1.10E-05	2.04E-03
cellular response to platelet-derived growth factor stimulus (GO:0036120)	28	1	.47	+	2.14	3.76E-01	1.00E00
T cell costimulation (GO:0031295)	28	1	.47	+	2.14	3.76E-01	1.00E00
monoatomic anion homeostasis (GO:0055081)	28	1	.47	+	2.14	3.76E-01	1.00E00
positive regulation of protein processing (GO:0010954)	28	1	.47	+	2.14	3.76E-01	1.00E00
positive regulation of cytokine production involved in inflammatory response (GO:1900017)	28	1	.47	+	2.14	3.76E-01	1.00E00
peptidyl-tyrosine dephosphorylation (GO:0035335)	28	1	.47	+	2.14	3.76E-01	1.00E00
miRNA-mediated post-transcriptional gene silencing (GO:0035195)	28	1	.47	+	2.14	3.76E-01	1.00E00
response to acidic pH (GO:0010447)	28	1	.47	+	2.14	3.76E-01	1.00E00
negative regulation of natural killer cell mediated cytotoxicity (GO:0045953)	28	1	.47	+	2.14	3.76E-01	1.00E00
visual behavior (GO:0007632)	84	3	1.40	+	2.14	1.65E-01	1.00E00
negative regulation of cell development (GO:0010721)	309	11	5.15	+	2.14	2.05E-02	4.89E-01
negative regulation of cell activation (GO:0050866)	225	8	3.75	+	2.13	3.55E-02	6.35E-01
regulation of cell junction assembly (GO:1901888)	310	11	5.17	+	2.13	2.07E-02	4.92E-01
positive regulation of calcium ion transport (GO:0051928)	141	5	2.35	+	2.13	8.74E-02	9.39E-01
myeloid leukocyte migration (GO:0097529)	141	5	2.35	+	2.13	8.74E-02	9.38E-01
positive regulation of cell-substrate adhesion (GO:0010811)	141	5	2.35	+	2.13	8.74E-02	9.38E-01
phosphatidylinositol metabolic process (GO:0046488)	141	5	2.35	+	2.13	8.74E-02	9.37E-01
positive regulation of T cell activation (GO:0050870)	254	9	4.23	+	2.13	4.09E-02	6.96E-01
neutral lipid metabolic process (GO:0006638)	113	4	1.88	+	2.12	1.20E-01	1.00E00
regulation of tumor necrosis factor production (GO:0032680)	198	7	3.30	+	2.12	4.87E-02	7.81E-01
positive regulation of endocytosis (GO:0045807)	198	7	3.30	+	2.12	4.87E-02	7.80E-01
energy reserve metabolic process (GO:0006112)	85	3	1.42	+	2.12	1.69E-01	1.00E00
nucleoside diphosphate metabolic process (GO:0009132)	85	3	1.42	+	2.12	1.69E-01	1.00E00
regulation of chemotaxis (GO:0050920)	227	8	3.78	+	2.11	5.87E-02	7.92E-01
renal system development (GO:0072001)	369	13	6.15	+	2.11	1.13E-02	3.81E-01
regulation of calcium ion transport (GO:0051924)	284	10	4.73	+	2.11	2.96E-02	6.04E-01
regulation of angiogenesis (GO:0045765)	313	11	5.22	+	2.11	2.15E-02	5.06E-01
cellular response to oxygen-containing compound (GO:1901701)	1196	42	19.94	+	2.11	6.32E-06	1.28E-03
response to monosaccharide (GO:0034284)	171	6	2.85	+	2.10	6.72E-02	8.21E-01
homotypic cell-cell adhesion (GO:0034109)	57	2	.95	+	2.10	2.46E-01	1.00E00
ADP catabolic process (GO:0046032)	57	2	.95	+	2.10	2.46E-01	1.00E00
regulation of glial cell proliferation (GO:0060251)	57	2	.95	+	2.10	2.46E-01	1.00E00
acetylcholine receptor signaling pathway (GO:0095500)	57	2	.95	+	2.10	2.46E-01	1.00E00
vesicle cytoskeletal trafficking (GO:0099518)	57	2	.95	+	2.10	2.46E-01	1.00E00
negative regulation of endothelial cell migration (GO:0010596)	57	2	.95	+	2.10	2.46E-01	1.00E00
positive regulation of muscle contraction (GO:0045933)	57	2	.95	+	2.10	2.46E-01	1.00E00
regulation of protein transport (GO:0051223)	542	19	9.03	+	2.10	3.04E-03	1.66E-01
proton transmembrane transport (GO:1902600)	143	5	2.38	+	2.10	9.15E-02	9.59E-01
positive regulation of protein transport (GO:0051222)	315	11	5.25	+	2.09	2.20E-02	5.12E-01
protein targeting to membrane (GO:0006612)	86	3	1.43	+	2.09	1.73E-01	1.00E00
cellular component maintenance (GO:0043954)	86	3	1.43	+	2.09	1.73E-01	1.00E00
positive regulation of phagocytosis (GO:0050766)	86	3	1.43	+	2.09	1.73E-01	1.00E00
myotube differentiation (GO:0014902)	86	3	1.43	+	2.09	1.73E-01	1.00E00
regulation of tumor necrosis factor superfamily cytokine production (GO:1903555)	201	7	3.35	+	2.09	5.20E-02	7.36E-01
positive regulation of canonical Wnt signaling pathway (GO:0090263)	115	4	1.92	+	2.09	1.26E-01	1.00E00
vascular process in circulatory system (GO:0003018)	259	9	4.32	+	2.08	4.28E-02	7.21E-01
cognition (GO:0050890)	403	14	6.72	+	2.08	9.17E-03	3.40E-01
regulation of inflammatory response (GO:0050727)	403	14	6.72	+	2.08	9.17E-03	3.40E-01
positive regulation of lymphocyte differentiation (GO:0045621)	144	5	2.40	+	2.08	9.36E-02	9.79E-01
regulation of dendrite development (GO:0050773)	144	5	2.40	+	2.08	9.36E-02	9.78E-01
positive regulation of hormone secretion (GO:0046887)	202	7	3.37	+	2.08	5.32E-02	7.47E-01
nucleocytoplasmic transport (GO:0006913)	260	9	4.33	+	2.08	4.33E-02	7.22E-01
calcium ion homeostasis (GO:0055074)	260	9	4.33	+	2.08	4.33E-02	7.21E-01
positive regulation of epidermis development (GO:0045684)	29	1	.48	+	2.07	3.86E-01	1.00E00
positive regulation of erythrocyte differentiation (GO:0045648)	29	1	.48	+	2.07	3.86E-01	1.00E00
AMP metabolic process (GO:0046033)	29	1	.48	+	2.07	3.86E-01	1.00E00
leukocyte apoptotic process (GO:0071887)	58	2	.97	+	2.07	2.52E-01	1.00E00
negative regulation of cell adhesion (GO:0007162)	319	11	5.32	+	2.07	2.32E-02	5.26E-01
auditory receptor cell morphogenesis (GO:0002093)	29	1	.48	+	2.07	3.86E-01	1.00E00
epithelial cell maturation (GO:0002070)	29	1	.48	+	2.07	3.86E-01	1.00E00
regulation of circadian sleep/wake cycle, sleep (GO:0045187)	29	1	.48	+	2.07	3.86E-01	1.00E00
cellular response to organic cyclic compound (GO:0071407)	493	17	8.22	+	2.07	6.19E-03	2.74E-01
negative regulation of RNA splicing (GO:0033119)	29	1	.48	+	2.07	3.86E-01	1.00E00
establishment of vesicle localization (GO:0051650)	174	6	2.90	+	2.07	7.18E-02	8.66E-01
positive regulation of fatty acid transport (GO:2000193)	29	1	.48	+	2.07	3.86E-01	1.00E00
regulation of icosanoid secretion (GO:0032303)	29	1	.48	+	2.07	3.86E-01	1.00E00
positive regulation of stress fiber assembly (GO:0051496)	58	2	.97	+	2.07	2.52E-01	1.00E00
nuclear transport (GO:0051169)	261	9	4.35	+	2.07	4.37E-02	7.23E-01
positive regulation of GTPase activity (GO:0043547)	145	5	2.42	+	2.07	9.57E-02	9.85E-01
detection of external biotic stimulus (GO:0098581)	29	1	.48	+	2.07	3.86E-01	1.00E00
regulation of cellular response to oxidative stress (GO:1900407)	29	1	.48	+	2.07	3.86E-01	1.00E00
response to temperature stimulus (GO:0009266)	174	6	2.90	+	2.07	7.18E-02	8.65E-01
axon regeneration (GO:0031103)	29	1	.48	+	2.07	3.86E-01	1.00E00
positive regulation of endopeptidase activity (GO:0010950)	145	5	2.42	+	2.07	9.57E-02	9.85E-01
regulation of programmed necrotic cell death (GO:0062098)	29	1	.48	+	2.07	3.86E-01	1.00E00
negative regulation of nucleocytoplasmic transport (GO:0046823)	29	1	.48	+	2.07	3.86E-01	1.00E00
regulation of telomere capping (GO:1904353)	29	1	.48	+	2.07	3.86E-01	1.00E00
synaptic vesicle maturation (GO:0016188)	29	1	.48	+	2.07	3.86E-01	1.00E00
sperm-egg recognition (GO:0035036)	58	2	.97	+	2.07	2.52E-01	1.00E00
prostate gland epithelium morphogenesis (GO:0060740)	29	1	.48	+	2.07	3.86E-01	1.00E00
gliogenesis (GO:0042063)	319	11	5.32	+	2.07	2.32E-02	5.25E-01
response to activity (GO:0014823)	87	3	1.45	+	2.07	1.77E-01	1.00E00
negative regulation of natural killer cell mediated immunity (GO:0002716)	29	1	.48	+	2.07	3.86E-01	1.00E00
hypothalamus development (GO:0021854)	29	1	.48	+	2.07	3.86E-01	1.00E00
positive regulation of miRNA transcription (GO:1902895)	58	2	.97	+	2.07	2.52E-01	1.00E00
lipid biosynthetic process (GO:0008610)	552	19	9.20	+	2.06	3.34E-03	1.76E-01
regulation of vasculature development (GO:1901342)	320	11	5.33	+	2.06	2.35E-02	5.29E-01
neuromuscular process (GO:0050905)	204	7	3.40	+	2.06	8.74E-02	9.39E-01
response to nitrogen compound (GO:1901698)	1167	40	19.45	+	2.06	1.62E-05	2.81E-03
glial cell development (GO:0021782)	146	5	2.43	+	2.05	9.78E-02	9.55E-01
sphingolipid metabolic process (GO:0006665)	146	5	2.43	+	2.05	9.78E-02	9.54E-01
digestive tract development (GO:0048565)	146	5	2.43	+	2.05	9.78E-02	9.54E-01
negative regulation of defense response (GO:0031348)	292	10	4.87	+	2.05	3.24E-02	6.46E-01
cellular response to reactive oxygen species (GO:0034614)	146	5	2.43	+	2.05	9.78E-02	9.53E-01
protein import into nucleus (GO:0006606)	117	4	1.95	+	2.05	1.32E-01	1.00E00
intracellular glucose homeostasis (GO:0001678)	117	4	1.95	+	2.05	1.32E-01	1.00E00
negative regulation of angiogenesis (GO:0016525)	117	4	1.95	+	2.05	1.32E-01	1.00E00
response to osmotic stress (GO:0006970)	88	3	1.47	+	2.05	1.81E-01	1.00E00
enzyme-linked receptor protein signaling pathway (GO:0007167)	616	21	10.27	+	2.05	2.00E-03	1.25E-01
regulation of signal transduction by p53 class mediator (GO:1901796)	88	3	1.47	+	2.05	1.81E-01	1.00E00
positive regulation of monoatomic ion transmembrane transport (GO:0034767)	176	6	2.93	+	2.05	7.49E-02	8.92E-01
regulation of dendritic spine development (GO:0060998)	88	3	1.47	+	2.05	1.81E-01	1.00E00
regulation of transport (GO:0051049)	1880	64	31.34	+	2.04	4.18E-08	2.30E-05
regulation of blood pressure (GO:0008217)	235	8	3.92	+	2.04	6.28E-02	8.30E-01
blood circulation (GO:0008015)	470	16	7.83	+	2.04	8.93E-03	3.40E-01
amino acid transport (GO:0006865)	147	5	2.45	+	2.04	9.99E-02	9.67E-01
negative regulation of leukocyte activation (GO:0002695)	206	7	3.43	+	2.04	8.87E-02	9.46E-01
forebrain development (GO:0030900)	471	16	7.85	+	2.04	9.00E-03	3.37E-01
blood vessel development (GO:0001568)	589	20	9.82	+	2.04	2.73E-03	1.55E-01
protein localization to membrane (GO:0072657)	501	17	8.35	+	2.04	6.63E-03	2.81E-01
positive regulation of myeloid cell differentiation (GO:0045639)	118	4	1.97	+	2.03	1.35E-01	1.00E00
cerebellum morphogenesis (GO:0021587)	59	2	.98	+	2.03	2.58E-01	1.00E00
regulation of amino acid transport (GO:0051955)	59	2	.98	+	2.03	2.58E-01	1.00E00
negative regulation of gliogenesis (GO:0014014)	59	2	.98	+	2.03	2.58E-01	1.00E00
regulation of phagocytosis (GO:0050764)	118	4	1.97	+	2.03	1.35E-01	1.00E00
negative regulation of protein modification process (GO:0031400)	413	14	6.88	+	2.03	1.08E-02	3.70E-01
fibroblast proliferation (GO:0048144)	59	2	.98	+	2.03	2.58E-01	1.00E00
cellular response to acetylcholine (GO:1905145)	59	2	.98	+	2.03	2.58E-01	1.00E00
neutrophil chemotaxis (GO:0030593)	59	2	.98	+	2.03	2.58E-01	1.00E00
regulation of substrate adhesion-dependent cell spreading (GO:1900024)	59	2	.98	+	2.03	2.58E-01	1.00E00
NAD metabolic process (GO:0019674)	59	2	.98	+	2.03	2.58E-01	1.00E00
respiratory gaseous exchange by respiratory system (GO:0007585)	59	2	.98	+	2.03	2.58E-01	1.00E00
memory (GO:0007613)	177	6	2.95	+	2.03	7.65E-02	9.08E-01
cytokine production (GO:0001816)	207	7	3.45	+	2.03	8.94E-02	9.48E-01
positive regulation of binding (GO:0051099)	148	5	2.47	+	2.03	1.02E-01	9.83E-01
regulation of leukocyte cell-cell adhesion (GO:1903037)	386	13	6.43	+	2.02	1.48E-02	4.39E-01
carbohydrate derivative catabolic process (GO:1901136)	208	7	3.47	+	2.02	9.01E-02	9.54E-01
nephron epithelium development (GO:0072009)	119	4	1.98	+	2.02	1.38E-01	1.00E00
negative regulation of blood vessel morphogenesis (GO:2000181)	119	4	1.98	+	2.02	1.38E-01	1.00E00
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	238	8	3.97	+	2.02	6.47E-02	8.43E-01
response to hydrogen peroxide (GO:0042542)	119	4	1.98	+	2.02	1.38E-01	1.00E00
cardiac ventricle development (GO:0003231)	149	5	2.48	+	2.01	1.04E-01	1.00E00
positive regulation of angiogenesis (GO:0045766)	179	6	2.98	+	2.01	1.29E-01	1.00E00
protein homooligomerization (GO:0051260)	209	7	3.48	+	2.01	9.08E-02	9.61E-01
regulation of establishment of protein localization (GO:0070201)	627	21	10.45	+	2.01	2.34E-03	1.40E-01
phosphorylation (GO:0016310)	538	18	8.97	+	2.01	5.35E-03	2.47E-01
cell migration (GO:0016477)	988	33	16.47	+	2.00	1.71E-04	1.98E-02
mammary gland morphogenesis (GO:0060443)	60	2	1.00	+	2.00	2.64E-01	1.00E00
regulation of steroid hormone secretion (GO:2000831)	30	1	.50	+	2.00	3.96E-01	1.00E00
negative regulation of stem cell differentiation (GO:2000737)	30	1	.50	+	2.00	3.96E-01	1.00E00
fat-soluble vitamin metabolic process (GO:0006775)	30	1	.50	+	2.00	3.96E-01	1.00E00
membrane assembly (GO:0071709)	60	2	1.00	+	2.00	2.64E-01	1.00E00
regulation of superoxide anion generation (GO:0032928)	30	1	.50	+	2.00	3.96E-01	1.00E00
phosphatidylinositol biosynthetic process (GO:0006661)	90	3	1.50	+	2.00	1.90E-01	1.00E00
reproductive behavior (GO:0019098)	60	2	1.00	+	2.00	2.64E-01	1.00E00
negative regulation of organic acid transport (GO:0032891)	30	1	.50	+	2.00	3.96E-01	1.00E00
uterus development (GO:0060065)	30	1	.50	+	2.00	3.96E-01	1.00E00
neurotrophin signaling pathway (GO:0038179)	30	1	.50	+	2.00	3.96E-01	1.00E00
zinc ion transmembrane transport (GO:0071577)	30	1	.50	+	2.00	3.96E-01	1.00E00
glycoprotein catabolic process (GO:0006516)	30	1	.50	+	2.00	3.96E-01	1.00E00
cellular response to gamma radiation (GO:0071480)	30	1	.50	+	2.00	3.96E-01	1.00E00
regulation of T cell differentiation in thymus (GO:0033081)	30	1	.50	+	2.00	3.96E-01	1.00E00
plasma membrane fusion (GO:0045026)	30	1	.50	+	2.00	3.96E-01	1.00E00
regulation of cytokinesis (GO:0032465)	90	3	1.50	+	2.00	1.90E-01	1.00E00
smooth muscle tissue development (GO:0048745)	30	1	.50	+	2.00	3.96E-01	1.00E00
negative regulation of vasculature development (GO:1901343)	120	4	2.00	+	2.00	1.41E-01	1.00E00
regulation of skeletal muscle tissue development (GO:0048641)	30	1	.50	+	2.00	3.96E-01	1.00E00
cochlea morphogenesis (GO:0090103)	30	1	.50	+	2.00	3.96E-01	1.00E00
embryonic camera-type eye morphogenesis (GO:0048596)	30	1	.50	+	2.00	3.96E-01	1.00E00
linoleic acid metabolic process (GO:0043651)	30	1	.50	+	2.00	3.96E-01	1.00E00
regulation of appetite (GO:0032098)	30	1	.50	+	2.00	3.96E-01	1.00E00
regulation of calcium ion transmembrane transporter activity (GO:1901019)	60	2	1.00	+	2.00	2.64E-01	1.00E00
CD4-positive, alpha-beta T cell differentiation (GO:0043367)	60	2	1.00	+	2.00	2.64E-01	1.00E00
lymphocyte costimulation (GO:0031294)	30	1	.50	+	2.00	3.96E-01	1.00E00
rRNA transcription (GO:0009303)	30	1	.50	+	2.00	3.96E-01	1.00E00
stress-activated protein kinase signaling cascade (GO:0031098)	30	1	.50	+	2.00	3.96E-01	1.00E00
purine ribonucleoside diphosphate catabolic process (GO:0009181)	60	2	1.00	+	2.00	2.64E-01	1.00E00
