




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Mus musculus - REFLIST (21836)	upload_1 (3078)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
synaptobrevin 2-SNAP-25-syntaxin-1a complex (GO:0070044)	5	2	.70	+	2.84	1.48E-01	4.54E-01
eukaryotic translation initiation factor 2B complex (GO:0005851)	5	2	.70	+	2.84	1.48E-01	4.53E-01
translation preinitiation complex (GO:0070993)	20	8	2.82	+	2.84	3.99E-03	3.26E-02
PAM complex, Tim23 associated import motor (GO:0001405)	5	2	.70	+	2.84	1.48E-01	4.52E-01
chromaffin granule (GO:0042583)	15	6	2.11	+	2.84	1.25E-02	8.27E-02
GARP complex (GO:0000938)	5	2	.70	+	2.84	1.48E-01	4.52E-01
Holliday junction resolvase complex (GO:0048476)	5	2	.70	+	2.84	1.48E-01	4.51E-01
flotillin complex (GO:0016600)	10	4	1.41	+	2.84	4.08E-02	2.00E-01
Sec61 translocon complex (GO:0005784)	5	2	.70	+	2.84	1.48E-01	4.50E-01
Bcl-2 family protein complex (GO:0097136)	10	4	1.41	+	2.84	4.08E-02	2.00E-01
oxidoreductase complex (GO:1990204)	144	57	20.30	+	2.81	3.82E-14	1.29E-12
eukaryotic 48S preinitiation complex (GO:0033290)	18	7	2.54	+	2.76	8.40E-03	6.23E-02
microfibril (GO:0001527)	13	5	1.83	+	2.73	2.67E-02	1.45E-01
ribonuclease P complex (GO:0030677)	13	5	1.83	+	2.73	2.67E-02	1.44E-01
neurofilament (GO:0005883)	13	5	1.83	+	2.73	2.67E-02	1.44E-01
RNA polymerase I complex (GO:0005736)	13	5	1.83	+	2.73	2.67E-02	1.44E-01
telomerase holoenzyme complex (GO:0005697)	21	8	2.96	+	2.70	5.66E-03	4.41E-02
proton-transporting ATP synthase complex (GO:0045259)	21	8	2.96	+	2.70	5.66E-03	4.39E-02
axon cytoplasm (GO:1904115)	58	22	8.18	+	2.69	5.82E-06	1.00E-04
apicolateral plasma membrane (GO:0016327)	29	11	4.09	+	2.69	1.27E-03	1.34E-02
cell cortex region (GO:0099738)	45	17	6.34	+	2.68	6.99E-05	9.75E-04
presynaptic cytoskeleton (GO:0099569)	8	3	1.13	+	2.66	9.05E-02	3.57E-01
eukaryotic translation initiation factor 3 complex, eIF3m (GO:0071541)	8	3	1.13	+	2.66	9.05E-02	3.57E-01
gamma-secretase complex (GO:0070765)	8	3	1.13	+	2.66	9.05E-02	3.56E-01
voltage-gated sodium channel complex (GO:0001518)	16	6	2.26	+	2.66	1.76E-02	1.11E-01
aryl hydrocarbon receptor complex (GO:0034751)	8	3	1.13	+	2.66	9.05E-02	3.55E-01
paranode region of axon (GO:0033270)	16	6	2.26	+	2.66	1.76E-02	1.10E-01
autolysosome (GO:0044754)	16	6	2.26	+	2.66	1.76E-02	1.10E-01
BORC complex (GO:0099078)	8	3	1.13	+	2.66	9.05E-02	3.55E-01
Ino80 complex (GO:0031011)	16	6	2.26	+	2.66	1.76E-02	1.09E-01
extrinsic component of postsynaptic membrane (GO:0098890)	24	9	3.38	+	2.66	3.83E-03	3.15E-02
anaphase-promoting complex (GO:0005680)	24	9	3.38	+	2.66	3.83E-03	3.14E-02
U12-type spliceosomal complex (GO:0005689)	27	10	3.81	+	2.63	2.59E-03	2.37E-02
serine-type peptidase complex (GO:1905286)	19	7	2.68	+	2.61	1.17E-02	7.99E-02
postsynaptic actin cytoskeleton (GO:0098871)	19	7	2.68	+	2.61	1.17E-02	7.97E-02
eukaryotic 43S preinitiation complex (GO:0016282)	19	7	2.68	+	2.61	1.17E-02	7.94E-02
synaptic cleft (GO:0043083)	30	11	4.23	+	2.60	1.76E-03	1.73E-02
NSL complex (GO:0044545)	11	4	1.55	+	2.58	5.72E-02	2.51E-01
nuclear telomere cap complex (GO:0000783)	11	4	1.55	+	2.58	5.72E-02	2.50E-01
telomere cap complex (GO:0000782)	11	4	1.55	+	2.58	5.72E-02	2.49E-01
TRAPPIII protein complex (GO:1990072)	11	4	1.55	+	2.58	5.72E-02	2.49E-01
EMC complex (GO:0072546)	11	4	1.55	+	2.58	5.72E-02	2.48E-01
organellar ribosome (GO:0000313)	88	32	12.40	+	2.58	1.51E-07	3.25E-06
mitochondrial ribosome (GO:0005761)	88	32	12.40	+	2.58	1.51E-07	3.21E-06
postsynaptic cytosol (GO:0099524)	47	17	6.63	+	2.57	1.31E-04	1.75E-03
smooth endoplasmic reticulum (GO:0005790)	36	13	5.07	+	2.56	8.14E-04	9.01E-03
presynaptic endocytic zone membrane (GO:0098835)	14	5	1.97	+	2.53	3.68E-02	1.86E-01
iron-sulfur cluster assembly complex (GO:1990229)	17	6	2.40	+	2.50	2.41E-02	1.34E-01
TRAPP complex (GO:0030008)	17	6	2.40	+	2.50	2.41E-02	1.33E-01
serine-type endopeptidase complex (GO:1905370)	17	6	2.40	+	2.50	2.41E-02	1.33E-01
prespliceosome (GO:0071010)	17	6	2.40	+	2.50	2.41E-02	1.33E-01
U2-type prespliceosome (GO:0071004)	17	6	2.40	+	2.50	2.41E-02	1.32E-01
connexin complex (GO:0005922)	20	7	2.82	+	2.48	1.59E-02	1.02E-01
axolemma (GO:0030673)	20	7	2.82	+	2.48	1.59E-02	1.02E-01
asymmetric, glutamatergic, excitatory synapse (GO:0098985)	20	7	2.82	+	2.48	1.59E-02	1.02E-01
core mediator complex (GO:0070847)	26	9	3.66	+	2.46	7.03E-03	5.35E-02
glial cell projection (GO:0097386)	61	21	8.60	+	2.44	5.18E-05	7.59E-04
ruffle membrane (GO:0032587)	102	35	14.38	+	2.43	2.11E-07	4.39E-06
extrinsic component of synaptic membrane (GO:0099243)	38	13	5.36	+	2.43	1.45E-03	1.48E-02
postsynaptic density, intracellular component (GO:0099092)	53	18	7.47	+	2.41	2.12E-04	2.69E-03
organellar large ribosomal subunit (GO:0000315)	56	19	7.89	+	2.41	1.45E-04	1.91E-03
mitochondrial large ribosomal subunit (GO:0005762)	56	19	7.89	+	2.41	1.45E-04	1.90E-03
spine apparatus (GO:0097444)	9	3	1.27	+	2.36	1.22E-01	4.30E-01
presynaptic endocytic zone (GO:0098833)	18	6	2.54	+	2.36	3.19E-02	1.66E-01
vacuolar proton-transporting V-type ATPase, V0 domain (GO:0000220)	9	3	1.27	+	2.36	1.22E-01	4.29E-01
U1 snRNP (GO:0005685)	18	6	2.54	+	2.36	3.19E-02	1.66E-01
RNA polymerase III complex (GO:0005666)	18	6	2.54	+	2.36	3.19E-02	1.66E-01
growth cone membrane (GO:0032584)	9	3	1.27	+	2.36	1.22E-01	4.28E-01
photoreceptor ribbon synapse (GO:0098684)	18	6	2.54	+	2.36	3.19E-02	1.65E-01
NMDA selective glutamate receptor complex (GO:0017146)	9	3	1.27	+	2.36	1.22E-01	4.28E-01
chromaffin granule membrane (GO:0042584)	9	3	1.27	+	2.36	1.22E-01	4.27E-01
RAVE complex (GO:0043291)	3	1	.42	+	2.36	3.66E-01	8.11E-01
fatty acid beta-oxidation multienzyme complex (GO:0036125)	3	1	.42	+	2.36	3.66E-01	8.10E-01
laminin-10 complex (GO:0043259)	3	1	.42	+	2.36	3.66E-01	8.09E-01
CAF-1 complex (GO:0033186)	3	1	.42	+	2.36	3.66E-01	8.08E-01
rod spherule (GO:0044317)	3	1	.42	+	2.36	3.66E-01	8.07E-01
IkappaB kinase complex (GO:0008385)	6	2	.85	+	2.36	2.02E-01	5.66E-01
Ku70:Ku80 complex (GO:0043564)	3	1	.42	+	2.36	3.66E-01	8.07E-01
XPC complex (GO:0071942)	3	1	.42	+	2.36	3.66E-01	8.06E-01
chromosome, telomeric repeat region (GO:0140445)	12	4	1.69	+	2.36	7.65E-02	3.13E-01
MutLalpha complex (GO:0032389)	3	1	.42	+	2.36	3.66E-01	8.05E-01
tertiary granule membrane (GO:0070821)	3	1	.42	+	2.36	3.66E-01	8.04E-01
nuclear pore inner ring (GO:0044611)	3	1	.42	+	2.36	3.66E-01	8.03E-01
Cry-Per complex (GO:1990512)	3	1	.42	+	2.36	3.66E-01	8.02E-01
procollagen-proline 4-dioxygenase complex (GO:0016222)	3	1	.42	+	2.36	3.66E-01	8.01E-01
concave side of sperm head (GO:0061830)	3	1	.42	+	2.36	3.66E-01	8.00E-01
podosome core (GO:0061825)	3	1	.42	+	2.36	3.66E-01	8.00E-01
Hrd1p ubiquitin ligase complex (GO:0000836)	3	1	.42	+	2.36	3.66E-01	7.99E-01
ER ubiquitin ligase complex (GO:0000835)	3	1	.42	+	2.36	3.66E-01	7.98E-01
ESCRT II complex (GO:0000814)	3	1	.42	+	2.36	3.66E-01	7.97E-01
COPI vesicle coat (GO:0030126)	12	4	1.69	+	2.36	7.65E-02	3.13E-01
core-binding factor complex (GO:0016513)	3	1	.42	+	2.36	3.66E-01	7.96E-01
mitochondrial fatty acid beta-oxidation multienzyme complex (GO:0016507)	3	1	.42	+	2.36	3.66E-01	7.95E-01
type III intermediate filament (GO:0045098)	6	2	.85	+	2.36	2.02E-01	5.65E-01
U2 snRNP (GO:0005686)	21	7	2.96	+	2.36	2.10E-02	1.21E-01
ciliary pocket membrane (GO:0020018)	3	1	.42	+	2.36	3.66E-01	7.94E-01
ciliary pocket (GO:0020016)	3	1	.42	+	2.36	3.66E-01	7.93E-01
translocon complex (GO:0071256)	6	2	.85	+	2.36	2.02E-01	5.65E-01
mannosyltransferase complex (GO:0031501)	6	2	.85	+	2.36	2.02E-01	5.64E-01
snRNA-activating protein complex (GO:0019185)	3	1	.42	+	2.36	3.66E-01	7.93E-01
SREBP-SCAP-Insig complex (GO:0032937)	3	1	.42	+	2.36	3.66E-01	7.92E-01
lamin filament (GO:0005638)	6	2	.85	+	2.36	2.02E-01	5.63E-01
INO80-type complex (GO:0097346)	27	9	3.81	+	2.36	9.25E-03	6.76E-02
neurofilament cytoskeleton (GO:0060053)	3	1	.42	+	2.36	3.66E-01	7.91E-01
laminin-3 complex (GO:0005608)	3	1	.42	+	2.36	3.66E-01	7.90E-01
laminin-1 complex (GO:0005606)	3	1	.42	+	2.36	3.66E-01	7.89E-01
Weibel-Palade body (GO:0033093)	6	2	.85	+	2.36	2.02E-01	5.62E-01
6-phosphofructokinase complex (GO:0005945)	3	1	.42	+	2.36	3.66E-01	7.88E-01
juxtaparanode region of axon (GO:0044224)	12	4	1.69	+	2.36	7.65E-02	3.12E-01
muscle tendon junction (GO:0005927)	6	2	.85	+	2.36	2.02E-01	5.61E-01
transcription factor TFIIIB complex (GO:0000126)	3	1	.42	+	2.36	3.66E-01	7.87E-01
nucleotide-excision repair factor 1 complex (GO:0000110)	3	1	.42	+	2.36	3.66E-01	7.87E-01
interleukin-12 receptor complex (GO:0042022)	3	1	.42	+	2.36	3.66E-01	7.86E-01
eNoSc complex (GO:0061773)	3	1	.42	+	2.36	3.66E-01	7.85E-01
Mpp10 complex (GO:0034457)	3	1	.42	+	2.36	3.66E-01	7.84E-01
alphav-beta3 integrin-HMGB1 complex (GO:0035868)	3	1	.42	+	2.36	3.66E-01	7.83E-01
PAR polarity complex (GO:0120157)	3	1	.42	+	2.36	3.66E-01	7.82E-01
Scrib-APC-beta-catenin complex (GO:0034750)	3	1	.42	+	2.36	3.66E-01	7.82E-01
methionine adenosyltransferase complex (GO:0048269)	3	1	.42	+	2.36	3.66E-01	7.81E-01
Cul4B-RING E3 ubiquitin ligase complex (GO:0031465)	6	2	.85	+	2.36	2.02E-01	5.61E-01
serotonergic synapse (GO:0099154)	3	1	.42	+	2.36	3.66E-01	7.80E-01
collagen type V trimer (GO:0005588)	3	1	.42	+	2.36	3.66E-01	7.79E-01
cortical microtubule (GO:0055028)	3	1	.42	+	2.36	3.66E-01	7.78E-01
NatC complex (GO:0031417)	3	1	.42	+	2.36	3.66E-01	7.77E-01
NF-kappaB complex (GO:0071159)	3	1	.42	+	2.36	3.66E-01	7.77E-01
cytoophidium (GO:0097268)	3	1	.42	+	2.36	3.66E-01	7.76E-01
endosome to plasma membrane transport vesicle (GO:0070381)	3	1	.42	+	2.36	3.66E-01	7.75E-01
periciliary membrane compartment (GO:1990075)	6	2	.85	+	2.36	2.02E-01	5.60E-01
striated muscle myosin thick filament (GO:0005863)	3	1	.42	+	2.36	3.66E-01	7.74E-01
isocitrate dehydrogenase complex (NAD+) (GO:0045242)	3	1	.42	+	2.36	3.66E-01	7.73E-01
nascent polypeptide-associated complex (GO:0005854)	3	1	.42	+	2.36	3.66E-01	7.72E-01
eukaryotic translation initiation factor 2 complex (GO:0005850)	6	2	.85	+	2.36	2.02E-01	5.59E-01
endoplasmic reticulum tubular network (GO:0071782)	30	10	4.23	+	2.36	6.19E-03	4.73E-02
terminal cisterna (GO:0014802)	3	1	.42	+	2.36	3.66E-01	7.72E-01
retromer, cargo-selective complex (GO:0030906)	3	1	.42	+	2.36	3.66E-01	7.71E-01
endodeoxyribonuclease complex (GO:1905347)	6	2	.85	+	2.36	2.02E-01	5.58E-01
discoidal high-density lipoprotein particle (GO:0034365)	3	1	.42	+	2.36	3.66E-01	7.70E-01
intermediate-density lipoprotein particle (GO:0034363)	6	2	.85	+	2.36	2.02E-01	5.58E-01
platelet alpha granule membrane (GO:0031092)	3	1	.42	+	2.36	3.66E-01	7.69E-01
Golgi cis cisterna membrane (GO:1990674)	3	1	.42	+	2.36	3.66E-01	7.68E-01
integrin alphav-beta3 complex (GO:0034683)	3	1	.42	+	2.36	3.66E-01	7.68E-01
TSC1-TSC2 complex (GO:0033596)	3	1	.42	+	2.36	3.66E-01	7.67E-01
TEAD-YAP complex (GO:0140552)	3	1	.42	+	2.36	3.66E-01	7.66E-01
elongator holoenzyme complex (GO:0033588)	6	2	.85	+	2.36	2.02E-01	5.57E-01
integrin alpha4-beta1 complex (GO:0034668)	3	1	.42	+	2.36	3.66E-01	7.65E-01
Dsl1/NZR complex (GO:0070939)	3	1	.42	+	2.36	3.66E-01	7.64E-01
cytoplasmic side of mitochondrial outer membrane (GO:0032473)	6	2	.85	+	2.36	2.02E-01	5.56E-01
nuclear cyclin-dependent protein kinase holoenzyme complex (GO:0019908)	15	5	2.11	+	2.36	4.90E-02	2.31E-01
extrinsic component of endosome membrane (GO:0031313)	3	1	.42	+	2.36	3.66E-01	7.64E-01
G protein-coupled receptor heterodimeric complex (GO:0038039)	3	1	.42	+	2.36	3.66E-01	7.63E-01
muscle cell projection membrane (GO:0036195)	3	1	.42	+	2.36	3.66E-01	7.62E-01
muscle cell projection (GO:0036194)	3	1	.42	+	2.36	3.66E-01	7.61E-01
signal recognition particle receptor complex (GO:0005785)	3	1	.42	+	2.36	3.66E-01	7.60E-01
early phagosome membrane (GO:0036186)	3	1	.42	+	2.36	3.66E-01	7.60E-01
cytoplasmic side of lysosomal membrane (GO:0098574)	12	4	1.69	+	2.36	7.65E-02	3.11E-01
cyclin D2-CDK4 complex (GO:0097129)	3	1	.42	+	2.36	3.66E-01	7.59E-01
multivesicular body, internal vesicle (GO:0097487)	6	2	.85	+	2.36	2.02E-01	5.55E-01
m-AAA complex (GO:0005745)	3	1	.42	+	2.36	3.66E-01	7.58E-01
tenascin complex (GO:0090733)	3	1	.42	+	2.36	3.66E-01	7.57E-01
sno(s)RNA-containing ribonucleoprotein complex (GO:0005732)	24	8	3.38	+	2.36	1.39E-02	9.04E-02
neuron projection cytoplasm (GO:0120111)	100	33	14.10	+	2.34	1.52E-06	3.02E-05
kinesin complex (GO:0005871)	49	16	6.91	+	2.32	7.69E-04	8.57E-03
parallel fiber to Purkinje cell synapse (GO:0098688)	43	14	6.06	+	2.31	1.66E-03	1.65E-02
excitatory synapse (GO:0060076)	105	34	14.80	+	2.30	1.56E-06	3.08E-05
endoplasmic reticulum protein-containing complex (GO:0140534)	127	41	17.90	+	2.29	2.24E-07	4.60E-06
axon initial segment (GO:0043194)	31	10	4.37	+	2.29	8.01E-03	5.96E-02
SWI/SNF complex (GO:0016514)	28	9	3.95	+	2.28	1.20E-02	8.08E-02
cytosolic region (GO:0099522)	72	23	10.15	+	2.27	1.05E-04	1.42E-03
secondary lysosome (GO:0005767)	22	7	3.10	+	2.26	2.71E-02	1.45E-01
dendritic spine membrane (GO:0032591)	19	6	2.68	+	2.24	4.12E-02	2.01E-01
complex of collagen trimers (GO:0098644)	19	6	2.68	+	2.24	4.12E-02	2.00E-01
microbody lumen (GO:0031907)	32	10	4.51	+	2.22	1.02E-02	7.14E-02
gap junction (GO:0005921)	32	10	4.51	+	2.22	1.02E-02	7.12E-02
eukaryotic translation initiation factor 3 complex (GO:0005852)	16	5	2.26	+	2.22	6.33E-02	2.66E-01
protein complex involved in cell-matrix adhesion (GO:0098637)	16	5	2.26	+	2.22	6.33E-02	2.66E-01
peroxisomal matrix (GO:0005782)	32	10	4.51	+	2.22	1.02E-02	7.09E-02
postsynapse (GO:0098794)	1042	323	146.88	+	2.20	7.59E-47	1.38E-44
microtubule plus-end (GO:0035371)	26	8	3.66	+	2.18	2.28E-02	1.28E-01
nuclear pore nuclear basket (GO:0044615)	13	4	1.83	+	2.18	9.86E-02	3.63E-01
nuclear inclusion body (GO:0042405)	13	4	1.83	+	2.18	9.86E-02	3.63E-01
AP-2 adaptor complex (GO:0030122)	13	4	1.83	+	2.18	9.86E-02	3.62E-01
SCAR complex (GO:0031209)	13	4	1.83	+	2.18	9.86E-02	3.61E-01
chromatin silencing complex (GO:0005677)	13	4	1.83	+	2.18	9.86E-02	3.61E-01
synapse-associated extracellular matrix (GO:0099535)	13	4	1.83	+	2.18	9.86E-02	3.60E-01
endolysosome (GO:0036019)	13	4	1.83	+	2.18	9.86E-02	3.59E-01
fascia adherens (GO:0005916)	13	4	1.83	+	2.18	9.86E-02	3.59E-01
mitochondrial outer membrane translocase complex (GO:0005742)	13	4	1.83	+	2.18	9.86E-02	3.58E-01
leading edge membrane (GO:0031256)	205	63	28.90	+	2.18	8.51E-10	2.15E-08
GABA-ergic synapse (GO:0098982)	170	52	23.96	+	2.17	2.63E-08	6.02E-07
microtubule end (GO:1990752)	36	11	5.07	+	2.17	1.28E-02	8.45E-02
lamellipodium membrane (GO:0031258)	23	7	3.24	+	2.16	3.43E-02	1.76E-01
AP-type membrane coat adaptor complex (GO:0030119)	46	14	6.48	+	2.16	4.29E-03	3.47E-02
peptidase inhibitor complex (GO:1904090)	23	7	3.24	+	2.16	3.43E-02	1.75E-01
dendrite membrane (GO:0032590)	56	17	7.89	+	2.15	1.54E-03	1.54E-02
myelin sheath (GO:0043209)	211	64	29.74	+	2.15	9.72E-10	2.42E-08
clathrin-coated pit (GO:0005905)	76	23	10.71	+	2.15	3.47E-04	4.22E-03
neuron projection membrane (GO:0032589)	83	25	11.70	+	2.14	1.77E-04	2.28E-03
mitochondrial protein-containing complex (GO:0098798)	173	52	24.39	+	2.13	6.03E-08	1.32E-06
eukaryotic translation initiation factor 4F complex (GO:0016281)	10	3	1.41	+	2.13	1.57E-01	4.63E-01
cyclin/CDK positive transcription elongation factor complex (GO:0008024)	10	3	1.41	+	2.13	1.57E-01	4.63E-01
postsynaptic density (GO:0014069)	460	138	64.84	+	2.13	5.89E-19	2.80E-17
clathrin coat of coated pit (GO:0030132)	20	6	2.82	+	2.13	5.21E-02	2.42E-01
membrane coat (GO:0030117)	100	30	14.10	+	2.13	3.56E-05	5.63E-04
Golgi trans cisterna (GO:0000138)	10	3	1.41	+	2.13	1.57E-01	4.62E-01
extrinsic component of postsynaptic density membrane (GO:0099147)	10	3	1.41	+	2.13	1.57E-01	4.61E-01
coated membrane (GO:0048475)	100	30	14.10	+	2.13	3.56E-05	5.59E-04
intercellular canaliculus (GO:0046581)	10	3	1.41	+	2.13	1.57E-01	4.61E-01
asymmetric synapse (GO:0032279)	484	145	68.22	+	2.13	9.41E-20	5.21E-18
intercalated disc (GO:0014704)	67	20	9.44	+	2.12	1.12E-03	1.19E-02
axonal growth cone (GO:0044295)	44	13	6.20	+	2.10	7.40E-03	5.59E-02
growth cone (GO:0030426)	237	70	33.41	+	2.10	7.02E-10	1.79E-08
postsynaptic specialization, intracellular component (GO:0099091)	61	18	8.60	+	2.09	1.50E-03	1.52E-02
inclusion body (GO:0016234)	78	23	10.99	+	2.09	4.30E-04	5.11E-03
lateral plasma membrane (GO:0016328)	78	23	10.99	+	2.09	4.30E-04	5.07E-03
COP9 signalosome (GO:0008180)	34	10	4.79	+	2.09	2.16E-02	1.25E-01
glutamatergic synapse (GO:0098978)	857	251	120.80	+	2.08	6.33E-32	8.41E-30
caveola (GO:0005901)	106	31	14.94	+	2.07	5.69E-05	8.16E-04
postsynaptic specialization (GO:0099572)	513	150	72.31	+	2.07	3.41E-19	1.74E-17
neuron to neuron synapse (GO:0098984)	528	154	74.43	+	2.07	1.10E-19	5.91E-18
Golgi medial cisterna (GO:0005797)	24	7	3.38	+	2.07	6.88E-02	2.86E-01
podosome (GO:0002102)	48	14	6.77	+	2.07	5.85E-03	4.50E-02
apical dendrite (GO:0097440)	31	9	4.37	+	2.06	3.26E-02	1.68E-01
mediator complex (GO:0016592)	38	11	5.36	+	2.05	1.64E-02	1.05E-01
extrinsic component of presynaptic endocytic zone membrane (GO:0098894)	7	2	.99	+	2.03	2.58E-01	6.73E-01
Lewy body (GO:0097413)	7	2	.99	+	2.03	2.58E-01	6.72E-01
microtubule minus-end (GO:0036449)	7	2	.99	+	2.03	2.58E-01	6.71E-01
tRNA methyltransferase complex (GO:0043527)	7	2	.99	+	2.03	2.58E-01	6.70E-01
cytosolic proteasome complex (GO:0031597)	7	2	.99	+	2.03	2.58E-01	6.70E-01
box C/D RNP complex (GO:0170049)	7	2	.99	+	2.03	2.58E-01	6.69E-01
clathrin coat of endocytic vesicle (GO:0030128)	14	4	1.97	+	2.03	1.23E-01	4.31E-01
U7 snRNP (GO:0005683)	7	2	.99	+	2.03	2.58E-01	6.68E-01
site of polarized growth (GO:0030427)	245	70	34.54	+	2.03	2.97E-09	7.14E-08
annulate lamellae (GO:0005642)	7	2	.99	+	2.03	2.58E-01	6.67E-01
nuclear envelope lumen (GO:0005641)	14	4	1.97	+	2.03	1.23E-01	4.30E-01
MKS complex (GO:0036038)	14	4	1.97	+	2.03	1.23E-01	4.29E-01
outer mitochondrial membrane protein complex (GO:0098799)	14	4	1.97	+	2.03	1.23E-01	4.28E-01
endolysosome membrane (GO:0036020)	7	2	.99	+	2.03	2.58E-01	6.66E-01
MOZ/MORF histone acetyltransferase complex (GO:0070776)	7	2	.99	+	2.03	2.58E-01	6.65E-01
ATAC complex (GO:0140672)	14	4	1.97	+	2.03	1.23E-01	4.28E-01
unconventional myosin complex (GO:0016461)	7	2	.99	+	2.03	2.58E-01	6.64E-01
RISC complex (GO:0016442)	14	4	1.97	+	2.03	1.23E-01	4.27E-01
Cul4A-RING E3 ubiquitin ligase complex (GO:0031464)	14	4	1.97	+	2.03	1.23E-01	4.26E-01
rough endoplasmic reticulum lumen (GO:0048237)	7	2	.99	+	2.03	2.58E-01	6.64E-01
box C/D methylation guide snoRNP complex (GO:0031428)	7	2	.99	+	2.03	2.58E-01	6.63E-01
activin receptor complex (GO:0048179)	7	2	.99	+	2.03	2.58E-01	6.62E-01
multi-pass translocon complex (GO:0160064)	7	2	.99	+	2.03	2.58E-01	6.61E-01
basal cortex (GO:0045180)	7	2	.99	+	2.03	2.58E-01	6.60E-01
presynaptic active zone (GO:0048786)	140	40	19.73	+	2.03	7.48E-06	1.26E-04
VCB complex (GO:0030891)	7	2	.99	+	2.03	2.58E-01	6.59E-01
rough endoplasmic reticulum membrane (GO:0030867)	28	8	3.95	+	2.03	4.93E-02	2.31E-01
brahma complex (GO:0035060)	14	4	1.97	+	2.03	1.23E-01	4.25E-01
central region of growth cone (GO:0090724)	7	2	.99	+	2.03	2.58E-01	6.58E-01
rough endoplasmic reticulum (GO:0005791)	63	18	8.88	+	2.03	2.89E-03	2.52E-02
postsynaptic specialization membrane (GO:0099634)	200	57	28.19	+	2.02	1.03E-07	2.23E-06
postsynaptic density membrane (GO:0098839)	158	45	22.27	+	2.02	2.62E-06	5.06E-05
presynaptic membrane (GO:0042734)	271	77	38.20	+	2.02	6.43E-10	1.67E-08
dendritic shaft (GO:0043198)	74	21	10.43	+	2.01	1.20E-03	1.27E-02
presynapse (GO:0098793)	868	246	122.35	+	2.01	7.38E-29	7.74E-27
presynaptic active zone membrane (GO:0048787)	75	21	10.57	+	1.99	1.39E-03	1.42E-02
spliceosomal snRNP complex (GO:0097525)	61	17	8.60	+	1.98	4.71E-03	3.73E-02
mitochondrial inner membrane (GO:0005743)	543	151	76.54	+	1.97	3.92E-17	1.74E-15
synapse (GO:0045202)	1904	529	268.39	+	1.97	1.35E-60	3.36E-58
COPI-coated vesicle membrane (GO:0030663)	18	5	2.54	+	1.97	1.63E-01	4.76E-01
collagen trimer (GO:0005581)	83	23	11.70	+	1.97	1.22E-03	1.29E-02
ruffle (GO:0001726)	195	54	27.49	+	1.96	7.03E-07	1.42E-05
SWI/SNF superfamily-type complex (GO:0070603)	94	26	13.25	+	1.96	5.13E-04	5.92E-03
clathrin adaptor complex (GO:0030131)	29	8	4.09	+	1.96	5.49E-02	2.43E-01
vesicle coat (GO:0030120)	62	17	8.74	+	1.95	5.32E-03	4.17E-02
small-subunit processome (GO:0032040)	73	20	10.29	+	1.94	3.40E-03	2.84E-02
integrin complex (GO:0008305)	33	9	4.65	+	1.93	4.15E-02	2.01E-01
nuclear membrane protein complex (GO:0106083)	11	3	1.55	+	1.93	1.94E-01	5.54E-01
laminin complex (GO:0043256)	11	3	1.55	+	1.93	1.94E-01	5.53E-01
proton-transporting V-type ATPase, V0 domain (GO:0033179)	11	3	1.55	+	1.93	1.94E-01	5.52E-01
AP-1 adaptor complex (GO:0030121)	11	3	1.55	+	1.93	1.94E-01	5.52E-01
cytoplasmic ubiquitin ligase complex (GO:0000153)	11	3	1.55	+	1.93	1.94E-01	5.51E-01
omegasome (GO:1990462)	11	3	1.55	+	1.93	1.94E-01	5.50E-01
microvesicle (GO:1990742)	11	3	1.55	+	1.93	1.94E-01	5.49E-01
N-terminal protein acetyltransferase complex (GO:0031414)	11	3	1.55	+	1.93	1.94E-01	5.49E-01
perisynaptic extracellular matrix (GO:0098966)	11	3	1.55	+	1.93	1.94E-01	5.48E-01
meiotic nuclear membrane microtubule tethering complex (GO:0034993)	11	3	1.55	+	1.93	1.94E-01	5.47E-01
microtubule organizing center attachment site (GO:0034992)	11	3	1.55	+	1.93	1.94E-01	5.46E-01
semaphorin receptor complex (GO:0002116)	11	3	1.55	+	1.93	1.94E-01	5.45E-01
nuclear membrane microtubule tethering complex (GO:0106094)	11	3	1.55	+	1.93	1.94E-01	5.45E-01
sarcoplasmic reticulum (GO:0016529)	81	22	11.42	+	1.93	1.95E-03	1.87E-02
dendrite cytoplasm (GO:0032839)	37	10	5.22	+	1.92	3.22E-02	1.66E-01
transmembrane transporter complex (GO:1902495)	481	130	67.80	+	1.92	6.84E-14	2.17E-12
organelle inner membrane (GO:0019866)	594	160	83.73	+	1.91	8.28E-17	3.59E-15
synaptic membrane (GO:0097060)	583	157	82.18	+	1.91	1.89E-16	7.69E-15
main axon (GO:0044304)	93	25	13.11	+	1.91	1.38E-03	1.41E-02
transporter complex (GO:1990351)	506	135	71.33	+	1.89	6.48E-14	2.15E-12
endoplasmic reticulum quality control compartment (GO:0044322)	15	4	2.11	+	1.89	1.50E-01	4.53E-01
early phagosome (GO:0032009)	15	4	2.11	+	1.89	1.50E-01	4.53E-01
