




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Mus musculus - REFLIST (21836)	upload_1 (1411)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
structural molecule activity (GO:0005198)	675	78	43.62	+	1.79	6.12E-07	1.84E-04
vascular endothelial growth factor receptor activity (GO:0005021)	52	6	3.36	+	1.79	1.48E-01	1.00E00
macromolecule transmembrane transporter activity (GO:0022884)	26	3	1.68	+	1.79	2.34E-01	1.00E00
glutamate receptor activity (GO:0008066)	26	3	1.68	+	1.79	2.34E-01	1.00E00
intramolecular transferase activity (GO:0016866)	26	3	1.68	+	1.79	2.34E-01	1.00E00
fibroblast growth factor binding (GO:0017134)	26	3	1.68	+	1.79	2.34E-01	1.00E00
cell adhesion molecule binding (GO:0050839)	313	36	20.23	+	1.78	7.15E-04	4.63E-02
tubulin binding (GO:0015631)	392	45	25.33	+	1.78	1.68E-04	1.95E-02
nuclear receptor binding (GO:0016922)	157	18	10.15	+	1.77	2.05E-02	4.68E-01
cadherin binding (GO:0045296)	70	8	4.52	+	1.77	1.35E-01	9.82E-01
tetrapyrrole binding (GO:0046906)	175	20	11.31	+	1.77	1.25E-02	3.27E-01
postsynaptic neurotransmitter receptor activity (GO:0098960)	70	8	4.52	+	1.77	1.35E-01	9.80E-01
extracellular ligand-gated monoatomic ion channel activity (GO:0005230)	70	8	4.52	+	1.77	1.35E-01	9.79E-01
proteoglycan binding (GO:0043394)	44	5	2.84	+	1.76	2.05E-01	1.00E00
antioxidant activity (GO:0016209)	88	10	5.69	+	1.76	7.69E-02	7.80E-01
protein tyrosine kinase activity (GO:0004713)	141	16	9.11	+	1.76	2.46E-02	4.93E-01
growth factor activity (GO:0008083)	150	17	9.69	+	1.75	2.78E-02	5.42E-01
transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315)	53	6	3.42	+	1.75	1.54E-01	1.00E00
lipid transfer activity (GO:0120013)	53	6	3.42	+	1.75	1.54E-01	1.00E00
monoatomic ion channel activity (GO:0005216)	443	50	28.63	+	1.75	1.21E-04	1.58E-02
syntaxin binding (GO:0019905)	71	8	4.59	+	1.74	1.38E-01	9.82E-01
actin filament binding (GO:0051015)	222	25	14.35	+	1.74	8.28E-03	2.50E-01
calcium ion binding (GO:0005509)	631	71	40.77	+	1.74	5.03E-06	1.07E-03
passive transmembrane transporter activity (GO:0022803)	510	57	32.96	+	1.73	5.23E-05	8.62E-03
channel activity (GO:0015267)	510	57	32.96	+	1.73	5.23E-05	8.36E-03
ribonucleoprotein complex binding (GO:0043021)	197	22	12.73	+	1.73	1.23E-02	3.23E-01
fibroblast growth factor receptor binding (GO:0005104)	27	3	1.74	+	1.72	2.52E-01	1.00E00
snRNA binding (GO:0017069)	45	5	2.91	+	1.72	2.13E-01	1.00E00
methyl-CpG binding (GO:0008327)	27	3	1.74	+	1.72	2.52E-01	1.00E00
protein serine/threonine kinase binding (GO:0120283)	27	3	1.74	+	1.72	2.52E-01	1.00E00
protein tyrosine/serine/threonine phosphatase activity (GO:0008138)	27	3	1.74	+	1.72	2.52E-01	1.00E00
oxidoreductase activity, acting on a heme group of donors (GO:0016675)	9	1	.58	+	1.72	4.52E-01	1.00E00
syndecan binding (GO:0045545)	9	1	.58	+	1.72	4.52E-01	1.00E00
nucleoside diphosphate kinase activity (GO:0004550)	18	2	1.16	+	1.72	3.26E-01	1.00E00
nucleotide receptor activity (GO:0016502)	18	2	1.16	+	1.72	3.26E-01	1.00E00
histone H3K4 deacetylase activity, hydrolytic mechanism (GO:1990162)	9	1	.58	+	1.72	4.52E-01	1.00E00
acetyl-CoA C-acyltransferase activity (GO:0003988)	9	1	.58	+	1.72	4.52E-01	1.00E00
nucleoside triphosphate diphosphatase activity (GO:0047429)	9	1	.58	+	1.72	4.52E-01	1.00E00
retromer complex binding (GO:1905394)	9	1	.58	+	1.72	4.52E-01	1.00E00
heterotrimeric G-protein binding (GO:0032795)	9	1	.58	+	1.72	4.52E-01	1.00E00
purinergic nucleotide receptor activity (GO:0001614)	18	2	1.16	+	1.72	3.26E-01	1.00E00
importin-alpha family protein binding (GO:0061676)	9	1	.58	+	1.72	4.52E-01	1.00E00
threonine-type endopeptidase activity (GO:0004298)	9	1	.58	+	1.72	4.52E-01	1.00E00
AMP binding (GO:0016208)	18	2	1.16	+	1.72	3.26E-01	1.00E00
ATP-gated ion channel activity (GO:0035381)	9	1	.58	+	1.72	4.52E-01	1.00E00
narrow pore channel activity (GO:0022842)	18	2	1.16	+	1.72	3.26E-01	1.00E00
leak channel activity (GO:0022840)	18	2	1.16	+	1.72	3.26E-01	1.00E00
superoxide-generating NAD(P)H oxidase activity (GO:0016175)	9	1	.58	+	1.72	4.52E-01	1.00E00
UDP-xylosyltransferase activity (GO:0035252)	9	1	.58	+	1.72	4.52E-01	1.00E00
branched-chain amino acid transmembrane transporter activity (GO:0015658)	9	1	.58	+	1.72	4.52E-01	1.00E00
minor groove of adenine-thymine-rich DNA binding (GO:0003680)	9	1	.58	+	1.72	4.52E-01	1.00E00
voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels (GO:0099626)	9	1	.58	+	1.72	4.52E-01	1.00E00
protein phosphatase 2B binding (GO:0030346)	9	1	.58	+	1.72	4.52E-01	1.00E00
selenium binding (GO:0008430)	9	1	.58	+	1.72	4.52E-01	1.00E00
protein-disulfide reductase (NAD(P)H) activity (GO:0047134)	9	1	.58	+	1.72	4.52E-01	1.00E00
3-chloroallyl aldehyde dehydrogenase activity (GO:0004028)	9	1	.58	+	1.72	4.52E-01	1.00E00
efflux transmembrane transporter activity (GO:0015562)	18	2	1.16	+	1.72	3.26E-01	1.00E00
voltage-gated calcium channel activity involved in regulation of cytosolic calcium levels (GO:0099511)	9	1	.58	+	1.72	4.52E-01	1.00E00
transmembrane receptor protein tyrosine kinase activator activity (GO:0030297)	18	2	1.16	+	1.72	3.26E-01	1.00E00
protein tyrosine/threonine phosphatase activity (GO:0008330)	9	1	.58	+	1.72	4.52E-01	1.00E00
very long-chain fatty acid-CoA ligase activity (GO:0031957)	9	1	.58	+	1.72	4.52E-01	1.00E00
rRNA binding (GO:0019843)	72	8	4.65	+	1.72	1.41E-01	9.98E-01
aspartic-type endopeptidase inhibitor activity (GO:0019828)	9	1	.58	+	1.72	4.52E-01	1.00E00
cytidylyltransferase activity (GO:0070567)	9	1	.58	+	1.72	4.52E-01	1.00E00
potassium:chloride symporter activity (GO:0015379)	9	1	.58	+	1.72	4.52E-01	1.00E00
insulin-like growth factor binding (GO:0005520)	18	2	1.16	+	1.72	3.26E-01	1.00E00
choline transmembrane transporter activity (GO:0015220)	9	1	.58	+	1.72	4.52E-01	1.00E00
pyrimidine nucleoside transmembrane transporter activity (GO:0015214)	9	1	.58	+	1.72	4.52E-01	1.00E00
nucleobase transmembrane transporter activity (GO:0015205)	9	1	.58	+	1.72	4.52E-01	1.00E00
ceramide binding (GO:0097001)	18	2	1.16	+	1.72	3.26E-01	1.00E00
retinal binding (GO:0016918)	18	2	1.16	+	1.72	3.26E-01	1.00E00
histone H4K12 methyltransferase activity (GO:0140984)	9	1	.58	+	1.72	4.52E-01	1.00E00
opioid receptor binding (GO:0031628)	9	1	.58	+	1.72	4.52E-01	1.00E00
gamma-aminobutyric acid transmembrane transporter activity (GO:0015185)	9	1	.58	+	1.72	4.52E-01	1.00E00
L-alanine transmembrane transporter activity (GO:0015180)	9	1	.58	+	1.72	4.52E-01	1.00E00
toxin transmembrane transporter activity (GO:0019534)	9	1	.58	+	1.72	4.52E-01	1.00E00
purine nucleobase transmembrane transporter activity (GO:0005345)	9	1	.58	+	1.72	4.52E-01	1.00E00
neurotransmitter transmembrane transporter activity (GO:0005326)	18	2	1.16	+	1.72	3.26E-01	1.00E00
channel activator activity (GO:0099103)	9	1	.58	+	1.72	4.52E-01	1.00E00
histone H4R3 methyltransferase activity (GO:0044020)	9	1	.58	+	1.72	4.52E-01	1.00E00
histone H4K8 deacetylase activity, hydrolytic mechanism (GO:0180033)	9	1	.58	+	1.72	4.52E-01	1.00E00
histone H4K5 deacetylase activity, hydrolytic mechanism (GO:0180032)	9	1	.58	+	1.72	4.52E-01	1.00E00
cell-matrix adhesion mediator activity (GO:0098634)	9	1	.58	+	1.72	4.52E-01	1.00E00
phosphotransferase activity, phosphate group as acceptor (GO:0016776)	36	4	2.33	+	1.72	2.91E-01	1.00E00
histone H3K56 methyltransferase activity (GO:0140759)	9	1	.58	+	1.72	4.52E-01	1.00E00
small ribosomal subunit rRNA binding (GO:0070181)	9	1	.58	+	1.72	4.52E-01	1.00E00
aryl hydrocarbon receptor binding (GO:0017162)	9	1	.58	+	1.72	4.52E-01	1.00E00
arachidonate binding (GO:0050544)	9	1	.58	+	1.72	4.52E-01	1.00E00
icosanoid binding (GO:0050542)	9	1	.58	+	1.72	4.52E-01	1.00E00
tripeptide transmembrane transporter activity (GO:0042937)	9	1	.58	+	1.72	4.52E-01	1.00E00
phosphatase activity (GO:0016791)	262	29	16.93	+	1.71	4.91E-03	1.75E-01
steroid binding (GO:0005496)	127	14	8.21	+	1.71	4.48E-02	7.34E-01
SH3 domain binding (GO:0017124)	127	14	8.21	+	1.71	4.48E-02	7.32E-01
glycosaminoglycan binding (GO:0005539)	245	27	15.83	+	1.71	5.89E-03	1.97E-01
protein heterodimerization activity (GO:0046982)	318	35	20.55	+	1.70	2.53E-03	1.19E-01
integrin binding (GO:0005178)	155	17	10.02	+	1.70	3.12E-02	5.88E-01
actin binding (GO:0003779)	456	50	29.47	+	1.70	2.33E-04	2.38E-02
growth factor binding (GO:0019838)	146	16	9.43	+	1.70	3.98E-02	6.72E-01
RNA polymerase binding (GO:0070063)	64	7	4.14	+	1.69	1.93E-01	1.00E00
heparin binding (GO:0008201)	174	19	11.24	+	1.69	2.81E-02	5.46E-01
calcium channel regulator activity (GO:0005246)	46	5	2.97	+	1.68	2.20E-01	1.00E00
heme binding (GO:0020037)	166	18	10.73	+	1.68	3.69E-02	6.47E-01
phosphatidylinositol phosphate binding (GO:1901981)	203	22	13.12	+	1.68	2.02E-02	4.63E-01
phosphoprotein binding (GO:0051219)	111	12	7.17	+	1.67	7.73E-02	7.83E-01
protein domain specific binding (GO:0019904)	826	89	53.37	+	1.67	2.24E-06	5.73E-04
histone chaperone activity (GO:0140713)	158	17	10.21	+	1.67	3.41E-02	6.33E-01
nucleobase-containing compound transmembrane transporter activity (GO:0015932)	56	6	3.62	+	1.66	1.75E-01	1.00E00
cullin family protein binding (GO:0097602)	28	3	1.81	+	1.66	4.24E-01	1.00E00
transforming growth factor beta receptor binding (GO:0005160)	28	3	1.81	+	1.66	4.24E-01	1.00E00
G protein-coupled amine receptor activity (GO:0008227)	47	5	3.04	+	1.65	2.28E-01	1.00E00
phosphatidylinositol-3,4,5-trisphosphate binding (GO:0005547)	47	5	3.04	+	1.65	2.28E-01	1.00E00
core promoter sequence-specific DNA binding (GO:0001046)	47	5	3.04	+	1.65	2.28E-01	1.00E00
histone deacetylase binding (GO:0042826)	141	15	9.11	+	1.65	5.59E-02	8.42E-01
ATP hydrolysis activity (GO:0016887)	396	42	25.59	+	1.64	1.79E-03	9.26E-02
helicase activity (GO:0004386)	151	16	9.76	+	1.64	4.53E-02	7.36E-01
amide binding (GO:0033218)	236	25	15.25	+	1.64	1.55E-02	3.91E-01
protein serine/threonine phosphatase activity (GO:0004722)	85	9	5.49	+	1.64	1.21E-01	1.00E00
vitamin binding (GO:0019842)	142	15	9.18	+	1.63	5.72E-02	8.57E-01
neuropeptide receptor binding (GO:0071855)	38	4	2.46	+	1.63	3.08E-01	1.00E00
histone methyltransferase binding (GO:1990226)	19	2	1.23	+	1.63	3.50E-01	1.00E00
DNA secondary structure binding (GO:0000217)	38	4	2.46	+	1.63	3.08E-01	1.00E00
amide transmembrane transporter activity (GO:0042887)	38	4	2.46	+	1.63	3.08E-01	1.00E00
phosphatidylinositol phospholipase C activity (GO:0004435)	19	2	1.23	+	1.63	3.50E-01	1.00E00
signaling receptor inhibitor activity (GO:0030547)	38	4	2.46	+	1.63	3.08E-01	1.00E00
aldehyde dehydrogenase (NAD+) activity (GO:0004029)	19	2	1.23	+	1.63	3.50E-01	1.00E00
monoatomic anion:sodium symporter activity (GO:0015373)	19	2	1.23	+	1.63	3.50E-01	1.00E00
retinoid binding (GO:0005501)	38	4	2.46	+	1.63	3.08E-01	1.00E00
neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential (GO:0099529)	57	6	3.68	+	1.63	2.70E-01	1.00E00
ATP-dependent protein folding chaperone (GO:0140662)	29	3	1.87	+	1.60	4.32E-01	1.00E00
phospholipase binding (GO:0043274)	29	3	1.87	+	1.60	4.32E-01	1.00E00
hyaluronic acid binding (GO:0005540)	29	3	1.87	+	1.60	4.32E-01	1.00E00
low-density lipoprotein particle receptor binding (GO:0050750)	29	3	1.87	+	1.60	4.32E-01	1.00E00
myosin binding (GO:0017022)	78	8	5.04	+	1.59	1.65E-01	1.00E00
RNA polymerase II complex binding (GO:0000993)	39	4	2.52	+	1.59	3.17E-01	1.00E00
protein kinase inhibitor activity (GO:0004860)	78	8	5.04	+	1.59	1.65E-01	1.00E00
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides (GO:0016811)	78	8	5.04	+	1.59	1.65E-01	1.00E00
phosphatidylinositol-4-phosphate binding (GO:0070273)	39	4	2.52	+	1.59	3.17E-01	1.00E00
protein serine/threonine/tyrosine kinase activity (GO:0004712)	39	4	2.52	+	1.59	3.17E-01	1.00E00
epidermal growth factor receptor binding (GO:0005154)	39	4	2.52	+	1.59	3.17E-01	1.00E00
beta-catenin binding (GO:0008013)	117	12	7.56	+	1.59	1.26E-01	9.38E-01
phospholipid binding (GO:0005543)	508	52	32.83	+	1.58	9.62E-04	5.72E-02
GTPase activator activity (GO:0005096)	235	24	15.19	+	1.58	2.32E-02	4.79E-01
chromatin binding (GO:0003682)	666	68	43.04	+	1.58	2.09E-04	2.23E-02
stem cell factor receptor activity (GO:0005020)	49	5	3.17	+	1.58	2.46E-01	1.00E00
platelet-derived growth factor beta-receptor activity (GO:0005019)	49	5	3.17	+	1.58	2.46E-01	1.00E00
platelet-derived growth factor alpha-receptor activity (GO:0005018)	49	5	3.17	+	1.58	2.46E-01	1.00E00
platelet-derived growth factor receptor activity (GO:0005017)	49	5	3.17	+	1.58	2.46E-01	1.00E00
macrophage colony-stimulating factor receptor activity (GO:0005011)	49	5	3.17	+	1.58	2.46E-01	1.00E00
insulin-like growth factor receptor activity (GO:0005010)	49	5	3.17	+	1.58	2.46E-01	1.00E00
hepatocyte growth factor receptor activity (GO:0005008)	49	5	3.17	+	1.58	2.46E-01	1.00E00
GPI-linked ephrin receptor activity (GO:0005004)	49	5	3.17	+	1.58	2.46E-01	1.00E00
brain-derived neurotrophic factor receptor activity (GO:0060175)	49	5	3.17	+	1.58	2.46E-01	1.00E00
protein tyrosine kinase collagen receptor activity (GO:0038062)	49	5	3.17	+	1.58	2.46E-01	1.00E00
boss receptor activity (GO:0008288)	49	5	3.17	+	1.58	2.46E-01	1.00E00
placental growth factor receptor activity (GO:0036332)	49	5	3.17	+	1.58	2.46E-01	1.00E00
molecular carrier activity (GO:0140104)	245	25	15.83	+	1.58	2.50E-02	4.99E-01
monoatomic cation transmembrane transporter activity (GO:0008324)	609	62	39.35	+	1.58	4.09E-04	3.27E-02
metalloendopeptidase activity (GO:0004222)	118	12	7.62	+	1.57	1.28E-01	9.49E-01
transmitter-gated channel activity (GO:0022835)	59	6	3.81	+	1.57	2.78E-01	1.00E00
transmitter-gated monoatomic ion channel activity (GO:0022824)	59	6	3.81	+	1.57	2.78E-01	1.00E00
intramolecular oxidoreductase activity (GO:0016860)	59	6	3.81	+	1.57	2.78E-01	1.00E00
lyase activity (GO:0016829)	197	20	12.73	+	1.57	4.08E-02	6.87E-01
scaffold protein binding (GO:0097110)	89	9	5.75	+	1.56	1.88E-01	1.00E00
kinase binding (GO:0019900)	896	90	57.90	+	1.55	2.86E-05	4.87E-03
histone H2AQ104 methyltransferase activity (GO:1990259)	10	1	.65	+	1.55	4.87E-01	1.00E00
phospholipase C activity (GO:0004629)	20	2	1.29	+	1.55	3.74E-01	1.00E00
signal sequence binding (GO:0005048)	50	5	3.23	+	1.55	2.55E-01	1.00E00
low-density lipoprotein particle receptor activity (GO:0005041)	10	1	.65	+	1.55	4.87E-01	1.00E00
fibroblast growth factor receptor activity (GO:0005007)	50	5	3.23	+	1.55	2.55E-01	1.00E00
transmembrane-ephrin receptor activity (GO:0005005)	50	5	3.23	+	1.55	2.55E-01	1.00E00
ephrin receptor activity (GO:0005003)	50	5	3.23	+	1.55	2.55E-01	1.00E00
peptide alpha-N-acetyltransferase activity (GO:0004596)	10	1	.65	+	1.55	4.87E-01	1.00E00
protein carrier chaperone (GO:0140597)	180	18	11.63	+	1.55	6.54E-02	7.05E-01
amine binding (GO:0043176)	20	2	1.29	+	1.55	3.74E-01	1.00E00
histone H3K14 deacetylase activity, hydrolytic mechanism (GO:0031078)	10	1	.65	+	1.55	4.87E-01	1.00E00
glutamate-gated calcium ion channel activity (GO:0022849)	10	1	.65	+	1.55	4.87E-01	1.00E00
ammonium channel activity (GO:0008519)	10	1	.65	+	1.55	4.87E-01	1.00E00
pre-miRNA binding (GO:0070883)	10	1	.65	+	1.55	4.87E-01	1.00E00
primary miRNA binding (GO:0070878)	10	1	.65	+	1.55	4.87E-01	1.00E00
histone H4K16 deacetylase activity, hydrolytic mechanism (GO:0034739)	10	1	.65	+	1.55	4.87E-01	1.00E00
aldehyde dehydrogenase [NAD(P)+] activity (GO:0004030)	20	2	1.29	+	1.55	3.74E-01	1.00E00
RNA polymerase II CTD heptapeptide repeat kinase activity (GO:0008353)	10	1	.65	+	1.55	4.87E-01	1.00E00
protein transmembrane transporter activity (GO:0008320)	20	2	1.29	+	1.55	3.74E-01	1.00E00
voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization (GO:1902282)	10	1	.65	+	1.55	4.87E-01	1.00E00
mitochondrial ribosome binding (GO:0097177)	10	1	.65	+	1.55	4.87E-01	1.00E00
salt transmembrane transporter activity (GO:1901702)	10	1	.65	+	1.55	4.87E-01	1.00E00
dynactin binding (GO:0034452)	10	1	.65	+	1.55	4.87E-01	1.00E00
eukaryotic initiation factor 4E binding (GO:0008190)	10	1	.65	+	1.55	4.87E-01	1.00E00
nitrite reductase activity (GO:0098809)	10	1	.65	+	1.55	4.87E-01	1.00E00
uniporter activity (GO:0015292)	10	1	.65	+	1.55	4.87E-01	1.00E00
TFIID-class transcription factor complex binding (GO:0001094)	10	1	.65	+	1.55	4.87E-01	1.00E00
ADP transmembrane transporter activity (GO:0015217)	10	1	.65	+	1.55	4.87E-01	1.00E00
neuropeptide Y receptor activity (GO:0004983)	10	1	.65	+	1.55	4.87E-01	1.00E00
histone H3K9 deacetylase activity, hydrolytic mechanism (GO:0032129)	10	1	.65	+	1.55	4.87E-01	1.00E00
histone H3K4 trimethyltransferase activity (GO:0140999)	10	1	.65	+	1.55	4.87E-01	1.00E00
histone H2A methyltransferase activity (GO:0140940)	10	1	.65	+	1.55	4.87E-01	1.00E00
histone H4K12 deacetylase activity, hydrolytic mechanism (GO:0140937)	10	1	.65	+	1.55	4.87E-01	1.00E00
glycine transmembrane transporter activity (GO:0015187)	10	1	.65	+	1.55	4.87E-01	1.00E00
pyrimidine nucleotide-sugar transmembrane transporter activity (GO:0015165)	10	1	.65	+	1.55	4.87E-01	1.00E00
urate transmembrane transporter activity (GO:0015143)	10	1	.65	+	1.55	4.87E-01	1.00E00
carbon-nitrogen ligase activity, with glutamine as amido-N-donor (GO:0016884)	10	1	.65	+	1.55	4.87E-01	1.00E00
histone deacetylase activity, hydrolytic mechanism (GO:0141221)	10	1	.65	+	1.55	4.87E-01	1.00E00
JUN kinase kinase kinase activity (GO:0004706)	20	2	1.29	+	1.55	3.74E-01	1.00E00
myosin V binding (GO:0031489)	20	2	1.29	+	1.55	3.74E-01	1.00E00
phospholipid scramblase activity (GO:0017128)	20	2	1.29	+	1.55	3.74E-01	1.00E00
icosatetraenoic acid binding (GO:0050543)	10	1	.65	+	1.55	4.87E-01	1.00E00
ATP-dependent chromatin remodeler activity (GO:0140658)	150	15	9.69	+	1.55	9.23E-02	8.86E-01
myosin phosphatase activity (GO:0017018)	70	7	4.52	+	1.55	2.19E-01	1.00E00
transcription regulator inhibitor activity (GO:0140416)	30	3	1.94	+	1.55	4.41E-01	1.00E00
calmodulin-dependent protein phosphatase activity (GO:0033192)	70	7	4.52	+	1.55	2.19E-01	1.00E00
RNA polymerase II CTD heptapeptide repeat S7 phosphatase activity (GO:0180008)	70	7	4.52	+	1.55	2.19E-01	1.00E00
RNA polymerase II CTD heptapeptide repeat S5 phosphatase activity (GO:0180007)	70	7	4.52	+	1.55	2.19E-01	1.00E00
RNA polymerase II CTD heptapeptide repeat S2 phosphatase activity (GO:0180006)	70	7	4.52	+	1.55	2.19E-01	1.00E00
RNA polymerase II CTD heptapeptide repeat T4 phosphatase activity (GO:0180005)	70	7	4.52	+	1.55	2.19E-01	1.00E00
RNA polymerase II CTD heptapeptide repeat Y1 phosphatase activity (GO:0180004)	70	7	4.52	+	1.55	2.19E-01	1.00E00
MAP kinase serine/threonine phosphatase activity (GO:1990439)	70	7	4.52	+	1.55	2.19E-01	1.00E00
histone H2AXS140 phosphatase activity (GO:0140791)	70	7	4.52	+	1.55	2.19E-01	1.00E00
sulfur compound binding (GO:1901681)	301	30	19.45	+	1.54	1.76E-02	4.18E-01
phosphoric ester hydrolase activity (GO:0042578)	352	35	22.75	+	1.54	1.14E-02	3.24E-01
protein kinase binding (GO:0019901)	806	80	52.08	+	1.54	1.35E-04	1.68E-02
RNA polymerase II-specific DNA-binding transcription factor binding (GO:0061629)	383	38	24.75	+	1.54	8.42E-03	2.53E-01
protein-containing complex binding (GO:0044877)	1624	161	104.94	+	1.53	3.10E-08	1.22E-05
phosphatidylinositol binding (GO:0035091)	303	30	19.58	+	1.53	1.83E-02	4.32E-01
ATPase binding (GO:0051117)	101	10	6.53	+	1.53	1.55E-01	1.00E00
RNA polymerase II CTD heptapeptide repeat phosphatase activity (GO:0008420)	71	7	4.59	+	1.53	2.25E-01	1.00E00
calcium-dependent protein serine/threonine phosphatase activity (GO:0004723)	71	7	4.59	+	1.53	2.25E-01	1.00E00
identical protein binding (GO:0042802)	2510	247	162.19	+	1.52	5.15E-12	6.58E-09
neurotrophin receptor activity (GO:0005030)	51	5	3.30	+	1.52	3.82E-01	1.00E00
epidermal growth factor receptor activity (GO:0005006)	51	5	3.30	+	1.52	3.82E-01	1.00E00
heat shock protein binding (GO:0031072)	153	15	9.89	+	1.52	9.75E-02	9.25E-01
metal ion transmembrane transporter activity (GO:0046873)	450	44	29.08	+	1.51	6.37E-03	2.07E-01
isoprenoid binding (GO:0019840)	41	4	2.65	+	1.51	3.36E-01	1.00E00
ATP-dependent activity, acting on DNA (GO:0008094)	195	19	12.60	+	1.51	7.66E-02	7.78E-01
pyrophosphatase activity (GO:0016462)	750	73	48.46	+	1.51	4.76E-04	3.58E-02
protein-hormone receptor activity (GO:0016500)	72	7	4.65	+	1.50	2.31E-01	1.00E00
hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818)	751	73	48.53	+	1.50	4.82E-04	3.57E-02
hydrolase activity, acting on acid anhydrides (GO:0016817)	751	73	48.53	+	1.50	4.82E-04	3.52E-02
protein dimerization activity (GO:0046983)	1133	110	73.21	+	1.50	1.69E-05	3.09E-03
bicarbonate transmembrane transporter activity (GO:0015106)	31	3	2.00	+	1.50	4.50E-01	1.00E00
lipid transporter activity (GO:0005319)	176	17	11.37	+	1.49	8.92E-02	8.71E-01
promoter-specific chromatin binding (GO:1990841)	83	8	5.36	+	1.49	2.56E-01	1.00E00
inorganic cation transmembrane transporter activity (GO:0022890)	571	55	36.90	+	1.49	3.20E-03	1.35E-01
organic acid binding (GO:0043177)	208	20	13.44	+	1.49	6.58E-02	7.07E-01
monoatomic ion transmembrane transporter activity (GO:0015075)	732	70	47.30	+	1.48	9.68E-04	5.69E-02
transcription coregulator activity (GO:0003712)	502	48	32.44	+	1.48	7.40E-03	2.38E-01
acylglycerol O-acyltransferase activity (GO:0016411)	21	2	1.36	+	1.47	6.43E-01	1.00E00
translation initiation factor activity (GO:0003743)	63	6	4.07	+	1.47	3.00E-01	1.00E00
structural constituent of muscle (GO:0008307)	21	2	1.36	+	1.47	6.43E-01	1.00E00
proteasome binding (GO:0070628)	21	2	1.36	+	1.47	6.43E-01	1.00E00
phosphotransferase activity, for other substituted phosphate groups (GO:0016780)	21	2	1.36	+	1.47	6.43E-01	1.00E00
structural constituent of ribosome (GO:0003735)	158	15	10.21	+	1.47	1.40E-01	9.95E-01
DNA-binding transcription factor binding (GO:0140297)	538	51	34.76	+	1.47	5.78E-03	1.94E-01
MAP kinase phosphatase activity (GO:0033549)	74	7	4.78	+	1.46	3.36E-01	1.00E00
molecular sequestering activity (GO:0140313)	53	5	3.42	+	1.46	3.91E-01	1.00E00
collagen receptor activity (GO:0038064)	53	5	3.42	+	1.46	3.91E-01	1.00E00
ATP-dependent activity (GO:0140657)	584	55	37.74	+	1.46	4.77E-03	1.74E-01
kinase inhibitor activity (GO:0019210)	85	8	5.49	+	1.46	2.64E-01	1.00E00
ribonucleoside triphosphate phosphatase activity (GO:0017111)	692	65	44.72	+	1.45	2.70E-03	1.24E-01
SNARE binding (GO:0000149)	118	11	7.62	+	1.44	1.90E-01	1.00E00
ubiquitin-like protein conjugating enzyme binding (GO:0044390)	43	4	2.78	+	1.44	3.58E-01	1.00E00
neuropeptide receptor activity (GO:0008188)	43	4	2.78	+	1.44	3.58E-01	1.00E00
GTPase regulator activity (GO:0030695)	430	40	27.79	+	1.44	2.20E-02	4.89E-01
nucleoside-triphosphatase regulator activity (GO:0060589)	430	40	27.79	+	1.44	2.20E-02	4.87E-01
kinase activity (GO:0016301)	733	68	47.37	+	1.44	2.77E-03	1.26E-01
DNA clamp loader activity (GO:0003689)	151	14	9.76	+	1.43	1.80E-01	1.00E00
oxidoreductase activity, acting on a sulfur group of donors (GO:0016667)	54	5	3.49	+	1.43	3.97E-01	1.00E00
carboxylic ester hydrolase activity (GO:0052689)	108	10	6.98	+	1.43	2.35E-01	1.00E00
transcription coactivator binding (GO:0001223)	54	5	3.49	+	1.43	3.97E-01	1.00E00
DNA nuclease activity (GO:0004536)	65	6	4.20	+	1.43	3.13E-01	1.00E00
protein-lysine N-methyltransferase activity (GO:0016279)	65	6	4.20	+	1.43	3.13E-01	1.00E00
lysine N-methyltransferase activity (GO:0016278)	65	6	4.20	+	1.43	3.13E-01	1.00E00
basal RNA polymerase II transcription machinery binding (GO:0001099)	65	6	4.20	+	1.43	3.13E-01	1.00E00
basal transcription machinery binding (GO:0001098)	65	6	4.20	+	1.43	3.13E-01	1.00E00
oxidoreductase activity, acting on the aldehyde or oxo group of donors (GO:0016903)	65	6	4.20	+	1.43	3.13E-01	1.00E00
carbon-oxygen lyase activity (GO:0016835)	76	7	4.91	+	1.43	3.43E-01	1.00E00
RNA binding (GO:0003723)	1155	106	74.63	+	1.42	2.70E-04	2.56E-02
inorganic molecular entity transmembrane transporter activity (GO:0015318)	688	63	44.46	+	1.42	5.62E-03	1.92E-01
